"",BBK01.OECJ02G,BBK01.OECJ02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:16,
2002-01,4.396,
2002-04,4.027,
2002-07,4.454,
2002-10,6.298,
2003-01,4.094,
2003-04,4.087,
2003-07,3.924,
2003-10,5.249,
2004-01,4.076,
2004-04,4.050,
2004-07,5.219,
2004-10,4.928,
2005-01,5.391,
2005-04,5.415,
2005-07,5.453,
2005-10,5.894,
2006-01,5.813,
2006-04,5.828,
2006-07,6.343,
2006-10,7.224,
2007-01,6.784,
2007-04,6.734,
2007-07,6.620,
2007-10,8.921,
2008-01,6.530,
2008-04,6.433,
2008-07,6.098,
2008-10,7.829,
2009-01,6.480,
2009-04,7.047,
2009-07,7.656,
2009-10,9.494,
2010-01,8.237,
2010-04,8.212,
2010-07,8.588,
2010-10,10.265,
2011-01,8.363,
2011-04,8.702,
2011-07,8.770,
2011-10,10.599,
2012-01,9.831,
2012-04,9.137,
2012-07,9.739,
2012-10,11.305,
2013-01,9.719,
2013-04,9.268,
2013-07,9.784,
2013-10,11.067,
2014-01,9.455,
2014-04,9.770,
2014-07,10.368,
