"",BBK01.OECB15H,BBK01.OECB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:56,
2002-01,0.666,
2002-04,0.663,
2002-07,0.630,
2002-10,0.558,
2003-01,0.550,
2003-04,0.514,
2003-07,0.477,
2003-10,0.453,
2004-01,0.442,
2004-04,0.837,
2004-07,0.931,
2004-10,1.016,
2005-01,1.051,
2005-04,1.058,
2005-07,1.072,
2005-10,1.060,
2006-01,1.071,
2006-04,0.513,
2006-07,0.506,
2006-10,0.522,
2007-01,0.515,
2007-04,0.545,
2007-07,0.534,
2007-10,0.545,
2008-01,0.551,
2008-04,0.512,
2008-07,0.500,
2008-10,0.516,
2009-01,0.493,
2009-04,0.346,
2009-07,0.347,
2009-10,0.349,
2010-01,0.497,
2010-04,0.447,
2010-07,0.364,
2010-10,0.372,
2011-01,0.294,
2011-04,0.273,
2011-07,0.254,
2011-10,0.280,
2012-01,0.276,
2012-04,0.263,
2012-07,0.226,
2012-10,0.257,
2013-01,0.257,
2013-04,0.257,
2013-07,0.259,
2013-10,0.256,
2014-01,0.234,
2014-04,0.292,
2014-07,0.296,
