"",BBDE1.M.DE.Y.AEB5.N2C260000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.N2C260000.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices / Germany / 26 Manufacture of computer, electronic and optical products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:55,
1991-01,69.1,
1991-02,66.2,
1991-03,68.2,
1991-04,68.6,
1991-05,77.3,
1991-06,62.3,
1991-07,71.1,
1991-08,58.7,
1991-09,68.3,
1991-10,69.8,
1991-11,65.2,
1991-12,70.1,
1992-01,69.8,
1992-02,65.9,
1992-03,76.0,
1992-04,67.8,
1992-05,59.4,
1992-06,60.0,
1992-07,63.0,
1992-08,69.7,
1992-09,60.4,
1992-10,62.6,
1992-11,64.2,
1992-12,62.8,
1993-01,55.6,
1993-02,59.4,
1993-03,58.9,
1993-04,56.4,
1993-05,54.2,
1993-06,61.2,
1993-07,55.5,
1993-08,58.9,
1993-09,58.8,
1993-10,53.7,
1993-11,53.5,
1993-12,64.2,
1994-01,48.3,
1994-02,49.0,
1994-03,50.1,
1994-04,51.4,
1994-05,56.1,
1994-06,52.0,
1994-07,49.9,
1994-08,48.6,
1994-09,54.0,
1994-10,55.2,
1994-11,56.0,
1994-12,64.2,
1995-01,57.9,
1995-02,55.3,
1995-03,58.5,
1995-04,55.9,
1995-05,54.0,
1995-06,53.0,
1995-07,59.5,
1995-08,51.7,
1995-09,60.8,
1995-10,52.2,
1995-11,52.7,
1995-12,54.5,
1996-01,55.6,
1996-02,55.1,
1996-03,56.5,
1996-04,55.1,
1996-05,59.1,
1996-06,55.1,
1996-07,60.0,
1996-08,57.3,
1996-09,57.1,
1996-10,60.4,
1996-11,64.3,
1996-12,60.3,
1997-01,65.3,
1997-02,60.1,
1997-03,65.1,
1997-04,67.9,
1997-05,66.1,
1997-06,76.2,
1997-07,67.7,
1997-08,70.0,
1997-09,68.9,
1997-10,71.5,
1997-11,70.6,
1997-12,70.7,
1998-01,69.1,
1998-02,67.3,
1998-03,70.3,
1998-04,69.7,
1998-05,68.5,
1998-06,69.6,
1998-07,74.3,
1998-08,73.0,
1998-09,81.2,
1998-10,68.2,
1998-11,76.4,
1998-12,74.6,
1999-01,73.9,
1999-02,74.7,
1999-03,75.5,
1999-04,70.9,
1999-05,80.8,
1999-06,81.9,
1999-07,90.1,
1999-08,88.8,
1999-09,91.0,
1999-10,92.0,
1999-11,92.6,
1999-12,101.4,
2000-01,95.3,
2000-02,104.7,
2000-03,104.4,
2000-04,111.1,
2000-05,117.8,
2000-06,127.0,
2000-07,113.3,
2000-08,129.2,
2000-09,125.6,
2000-10,125.4,
2000-11,107.9,
2000-12,108.8,
2001-01,93.5,
2001-02,96.8,
2001-03,99.2,
2001-04,83.2,
2001-05,94.6,
2001-06,96.8,
2001-07,94.7,
2001-08,91.7,
2001-09,80.9,
2001-10,85.3,
2001-11,94.7,
2001-12,91.5,
2002-01,85.6,
2002-02,97.9,
2002-03,100.0,
2002-04,98.1,
2002-05,104.3,
2002-06,95.5,
2002-07,88.9,
2002-08,94.1,
2002-09,95.8,
2002-10,95.3,
2002-11,97.0,
2002-12,89.8,
2003-01,96.3,
2003-02,92.7,
2003-03,93.0,
2003-04,90.2,
2003-05,86.7,
2003-06,92.9,
2003-07,95.1,
2003-08,101.6,
2003-09,103.5,
2003-10,100.2,
2003-11,104.9,
2003-12,102.1,
2004-01,101.4,
2004-02,105.7,
2004-03,102.6,
2004-04,105.0,
2004-05,111.1,
2004-06,112.5,
2004-07,113.4,
2004-08,114.3,
2004-09,105.3,
2004-10,106.2,
2004-11,104.8,
2004-12,107.7,
2005-01,108.8,
2005-02,99.8,
2005-03,106.8,
2005-04,106.1,
2005-05,107.5,
2005-06,111.4,
2005-07,109.5,
2005-08,114.6,
2005-09,112.7,
2005-10,113.1,
2005-11,117.7,
2005-12,116.0,
2006-01,115.1,
2006-02,123.9,
2006-03,127.0,
2006-04,122.3,
2006-05,121.5,
2006-06,121.2,
2006-07,123.9,
2006-08,120.2,
2006-09,129.4,
2006-10,122.0,
2006-11,121.9,
2006-12,123.7,
2007-01,121.5,
2007-02,121.7,
2007-03,122.3,
2007-04,119.2,
2007-05,123.9,
2007-06,121.7,
2007-07,121.8,
2007-08,119.4,
2007-09,120.6,
2007-10,137.7,
2007-11,113.4,
2007-12,115.8,
2008-01,113.5,
2008-02,115.7,
2008-03,113.0,
2008-04,110.2,
2008-05,110.1,
2008-06,101.8,
2008-07,100.7,
2008-08,105.9,
2008-09,94.6,
2008-10,99.8,
2008-11,87.7,
2008-12,83.8,
2009-01,69.8,
2009-02,72.5,
2009-03,71.2,
2009-04,69.4,
2009-05,69.3,
2009-06,74.6,
2009-07,75.0,
2009-08,74.9,
2009-09,80.3,
2009-10,76.6,
2009-11,83.1,
2009-12,92.6,
2010-01,88.3,
2010-02,85.2,
2010-03,89.1,
2010-04,95.4,
2010-05,98.0,
2010-06,100.0,
2010-07,101.5,
2010-08,99.4,
2010-09,99.6,
2010-10,101.1,
2010-11,137.3,
2010-12,102.7,
2011-01,105.9,
2011-02,98.2,
2011-03,97.5,
2011-04,96.5,
2011-05,94.0,
2011-06,87.9,
2011-07,100.8,
2011-08,91.7,
2011-09,93.3,
2011-10,91.1,
2011-11,88.8,
2011-12,88.5,
2012-01,85.9,
2012-02,98.9,
2012-03,90.9,
2012-04,86.8,
2012-05,93.5,
2012-06,94.6,
2012-07,91.5,
2012-08,91.6,
2012-09,90.8,
2012-10,87.4,
2012-11,87.5,
2012-12,85.9,
2013-01,93.7,
2013-02,91.1,
2013-03,104.8,
2013-04,94.8,
2013-05,94.0,
2013-06,97.4,
2013-07,93.5,
2013-08,96.4,
2013-09,95.1,
2013-10,97.2,
2013-11,98.2,
2013-12,100.5,
2014-01,97.0,
2014-02,97.9,
2014-03,102.8,
2014-04,106.7,
2014-05,98.5,
2014-06,96.9,
2014-07,100.8,
2014-08,98.2,
2014-09,101.3,
2014-10,108.1,
2014-11,106.8,
2014-12,102.4,Provisional value
