"",BBSF2.M.1.S.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.REN01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Bonds funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:42,
2009-09,1198,
2009-10,1155,
2009-11,1079,
2009-12,440,
2010-01,1551,
2010-02,775,
2010-03,395,
2010-04,439,
2010-05,306,
2010-06,557,
2010-07,512,
2010-08,451,
2010-09,523,
2010-10,335,
2010-11,427,
2010-12,243,
2011-01,173,
2011-02,606,
2011-03,403,
2011-04,458,
2011-05,307,
2011-06,353,
2011-07,449,
2011-08,456,
2011-09,639,
2011-10,639,
2011-11,304,
2011-12,519,
2012-01,360,
2012-02,324,
2012-03,391,
2012-04,644,
2012-05,629,
2012-06,732,
2012-07,476,
2012-08,616,
2012-09,452,
2012-10,769,
2012-11,863,
2012-12,1026,
2013-01,941,
2013-02,799,
2013-03,1005,
2013-04,1115,
2013-05,1205,
2013-06,1307,
2013-07,1413,
2013-08,1213,
2013-09,1007,
2013-10,922,
2013-11,566,
2013-12,458,
2014-01,721,
2014-02,831,
2014-03,768,
2014-04,1002,
2014-05,1859,
2014-06,1796,
2014-07,2106,
2014-08,2063,
2014-09,1886,
2014-10,817,
2014-11,665,
