"",BBK01.OEAH74M,BBK01.OEAH74M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:03,
2002-01,1.688,
2002-04,1.718,
2002-07,1.560,
2002-10,1.409,
2003-01,1.100,
2003-04,1.356,
2003-07,0.889,
2003-10,1.145,
2004-01,0.837,
2004-04,0.978,
2004-07,0.786,
2004-10,1.302,
2005-01,0.726,
2005-04,0.863,
2005-07,0.777,
2005-10,1.141,
2006-01,1.197,
2006-04,0.982,
2006-07,1.375,
2006-10,1.755,
2007-01,1.018,
2007-04,1.354,
2007-07,1.704,
2007-10,2.435,
2008-01,2.623,
2008-04,2.710,
2008-07,2.678,
2008-10,4.109,
2009-01,2.884,
2009-04,2.922,
2009-07,1.520,
2009-10,2.025,
2010-01,1.430,
2010-04,2.652,
2010-07,2.368,
2010-10,2.065,
2011-01,2.470,
2011-04,3.232,
2011-07,2.964,
2011-10,3.497,
2012-01,2.697,
2012-04,4.069,
2012-07,4.028,
2012-10,2.925,
2013-01,2.876,
2013-04,4.930,
2013-07,3.622,
2013-10,3.907,
2014-01,5.583,
2014-04,5.330,
2014-07,6.889,
