"",BBK01.OEAE11G,BBK01.OEAE11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:52,
2002-01,2.346,
2002-04,2.324,
2002-07,2.219,
2002-10,2.126,
2003-01,2.010,
2003-04,1.911,
2003-07,1.807,
2003-10,1.793,
2004-01,1.619,
2004-04,1.624,
2004-07,1.578,
2004-10,1.551,
2005-01,1.500,
2005-04,1.537,
2005-07,1.460,
2005-10,1.433,
2006-01,1.338,
2006-04,1.356,
2006-07,1.378,
2006-10,1.429,
2007-01,1.498,
2007-04,1.616,
2007-07,1.626,
2007-10,1.613,
2008-01,1.717,
2008-04,1.757,
2008-07,1.898,
2008-10,2.316,
2009-01,2.076,
2009-04,1.997,
2009-07,1.968,
2009-10,1.917,
2010-01,1.863,
2010-04,1.861,
2010-07,1.898,
2010-10,1.854,
2011-01,1.768,
2011-04,1.787,
2011-07,1.756,
2011-10,1.841,
2012-01,1.821,
2012-04,1.991,
2012-07,2.116,
2012-10,1.968,
2013-01,1.827,
2013-04,1.915,
2013-07,1.816,
2013-10,1.412,
2014-01,1.373,
2014-04,1.302,
2014-07,1.257,
