"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:27,
1991-01,-106.363,
1991-04,69.429,
1991-07,228.207,
1991-10,-184.423,
1992-01,191.615,
1992-04,-621.062,
1992-07,16.128,
1992-10,-337.748,
1993-01,214.058,
1993-04,116.507,
1993-07,787.839,
1993-10,296.920,
1994-01,454.701,
1994-04,103.909,
1994-07,-163.262,
1994-10,51.888,
1995-01,658.188,
1995-04,1197.476,
1995-07,-202.575,
1995-10,306.466,
1996-01,-765.248,
1996-04,-264.128,
1996-07,218.415,
1996-10,22.846,
1997-01,24.855,
1997-04,100.551,
1997-07,-157.388,
1997-10,349.562,
1998-01,323.205,
1998-04,885.090,
1998-07,747.041,
1998-10,998.443,
1999-01,178.627,
1999-04,-327.996,
1999-07,105.876,
1999-10,684.200,
2000-01,774.453,
2000-04,-262.275,
2000-07,-67.598,
2000-10,-1138.467,
2001-01,-10.088,
2001-04,364.790,
2001-07,-202.502,
2001-10,1571.781,
2002-01,-73.935,
2002-04,588.740,
2002-07,222.753,
2002-10,-578.948,
2003-01,-261.892,
2003-04,-695.604,
2003-07,-266.072,
2003-10,-247.732,
2004-01,1430.792,
2004-04,538.168,
2004-07,105.420,
2004-10,171.886,
2005-01,415.011,
2005-04,578.244,
2005-07,222.767,
2005-10,660.910,
2006-01,-126.939,
2006-04,122.473,
2006-07,583.958,
2006-10,242.337,
2007-01,231.117,
2007-04,1525.940,
2007-07,-1997.840,
2007-10,44.344,
2008-01,198.235,
2008-04,-442.883,
2008-07,120.841,
2008-10,523.937,
2009-01,128.787,
2009-04,1791.184,
2009-07,1714.277,
2009-10,1523.567,
2010-01,2025.878,
2010-04,1807.252,
2010-07,386.831,
2010-10,1819.304,
2011-01,1348.881,
2011-04,813.794,
2011-07,567.441,
2011-10,663.107,
2012-01,311.335,
2012-04,-861.387,
2012-07,-358.741,
2012-10,482.046,
2013-01,1249.534,
2013-04,800.495,
2013-07,-316.663,
2013-10,197.445,
2014-01,-334.906,Provisional value
2014-04,504.080,Provisional value
2014-07,-3040.575,Provisional value
2014-10,-497.086,Provisional value
