"",BBSF2.M.1.S.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Other funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:19,
2009-09,786,
2009-10,1016,
2009-11,2271,
2009-12,2545,
2010-01,2880,
2010-02,2911,
2010-03,3048,
2010-04,3129,
2010-05,3219,
2010-06,3181,
2010-07,3565,
2010-08,3716,
2010-09,3405,
2010-10,3616,
2010-11,3566,
2010-12,3375,
2011-01,3319,
2011-02,3389,
2011-03,3308,
2011-04,3378,
2011-05,3349,
2011-06,3422,
2011-07,3525,
2011-08,4273,
2011-09,4349,
2011-10,5475,
2011-11,7455,
2011-12,7705,
2012-01,7769,
2012-02,7774,
2012-03,7533,
2012-04,7249,
2012-05,7094,
2012-06,6898,
2012-07,7009,
2012-08,7161,
2012-09,7030,
2012-10,6971,
2012-11,7157,
2012-12,7171,
2013-01,7410,
2013-02,7532,
2013-03,7651,
2013-04,8219,
2013-05,8561,
2013-06,8513,
2013-07,8750,
2013-08,8668,
2013-09,8944,
2013-10,8755,
2013-11,8824,
2013-12,9077,
2014-01,9383,
2014-02,9750,
2014-03,9878,
2014-04,9943,
2014-05,10187,
2014-06,10265,
2014-07,10379,
2014-08,14151,
2014-09,14161,
2014-10,14430,
2014-11,14844,
