"",BBK01.CEBK01,BBK01.CEBK01_FLAGS
"",Other equity debtor: All sectors                     creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:40,
1991-01,76.0,
1991-04,78.3,
1991-07,80.4,
1991-10,85.3,
1992-01,87.2,
1992-04,89.1,
1992-07,90.1,
1992-10,91.8,
1993-01,92.0,
1993-04,97.6,
1993-07,99.1,
1993-10,101.7,
1994-01,102.5,
1994-04,104.7,
1994-07,105.7,
1994-10,109.0,
1995-01,93.6,
1995-04,96.7,
1995-07,100.9,
1995-10,106.7,
1996-01,107.1,
1996-04,109.6,
1996-07,109.9,
1996-10,115.7,
1997-01,117.6,
1997-04,117.9,
1997-07,120.6,
1997-10,133.0,
1998-01,136.1,
1998-04,135.0,
1998-07,143.1,
1998-10,132.0,
1999-01,124.1,
1999-04,135.5,
1999-07,133.8,
1999-10,150.8,
2000-01,169.9,
2000-04,180.7,
2000-07,189.5,
2000-10,216.7,
2001-01,203.1,
2001-04,201.1,
2001-07,220.4,
2001-10,274.8,
2002-01,272.7,
2002-04,262.1,
2002-07,260.2,
2002-10,231.8,
2003-01,235.1,
2003-04,224.3,
2003-07,230.7,
2003-10,236.5,
2004-01,213.4,
2004-04,218.7,
2004-07,225.0,
2004-10,222.2,
2005-01,229.4,
2005-04,240.5,
2005-07,254.3,
2005-10,253.2,
2006-01,299.2,
2006-04,302.4,
2006-07,325.2,
2006-10,357.1,
2007-01,366.7,
2007-04,371.6,
2007-07,379.2,
2007-10,361.7,
2008-01,363.2,
2008-04,376.7,
2008-07,370.7,
2008-10,336.9,
2009-01,323.7,
2009-04,334.2,
2009-07,336.7,
2009-10,339.8,
2010-01,363.6,
2010-04,378.9,
2010-07,353.3,
2010-10,354.5,
2011-01,348.5,
2011-04,376.3,
2011-07,389.1,
2011-10,401.2,
2012-01,411.0,
2012-04,434.9,
2012-07,446.8,
2012-10,440.5,
2013-01,453.7,
2013-04,446.4,
2013-07,448.0,
2013-10,450.4,
2014-01,458.6,
