"",BBK01.BQM007,BBK01.BQM007_FLAGS
"",General government debt - of which loans,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:35,
2000-01,499780,
2000-04,494534,
2000-07,499454,
2000-10,471035,
2001-01,479480,
2001-04,466703,
2001-07,464665,
2001-10,461388,
2002-01,473111,
2002-04,452351,
2002-07,447246,
2002-10,451361,
2003-01,454051,
2003-04,457401,
2003-07,470113,
2003-10,468232,
2004-01,479253,
2004-04,472093,
2004-07,473745,
2004-10,468422,
2005-01,479467,
2005-04,471963,
2005-07,477887,
2005-10,468233,
2006-01,475820,
2006-04,468360,
2006-07,474195,
2006-10,463331,
2007-01,468860,
2007-04,468690,
2007-07,459844,
2007-10,441188,
2008-01,463568,
2008-04,470000,
2008-07,454124,
2008-10,463876,
2009-01,458294,
2009-04,457995,
2009-07,467352,
2009-10,464276,
2010-01,460975,Provisional value
2010-04,484738,Provisional value
2010-07,487723,Provisional value
2010-10,659051,Provisional value
2011-01,641778,Provisional value
2011-04,619312,Provisional value
2011-07,620012,Provisional value
2011-10,621248,Provisional value
2012-01,617579,Provisional value
2012-04,635936,Provisional value
2012-07,623330,Provisional value
2012-10,614074,Provisional value
2013-01,595937,Provisional value
2013-04,601464,Provisional value
2013-07,585734,Provisional value
2013-10,591301,Provisional value
2014-01,573078,Provisional value
2014-04,571290,Provisional value
2014-07,567167,Provisional value
