"",BBK01.OEAD04L,BBK01.OEAD04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:52,
2002-01,0.932,
2002-04,1.023,
2002-07,1.123,
2002-10,0.943,
2003-01,0.923,
2003-04,0.831,
2003-07,0.744,
2003-10,0.808,
2004-01,0.744,
2004-04,0.697,
2004-07,0.668,
2004-10,0.701,
2005-01,0.816,
2005-04,0.832,
2005-07,0.819,
2005-10,1.052,
2006-01,0.970,
2006-04,0.881,
2006-07,0.935,
2006-10,1.038,
2007-01,1.175,
2007-04,1.894,
2007-07,2.037,
2007-10,1.885,
2008-01,1.499,
2008-04,1.725,
2008-07,1.516,
2008-10,1.629,
2009-01,1.959,
2009-04,2.115,
2009-07,1.435,
2009-10,1.246,
2010-01,0.892,
2010-04,1.063,
2010-07,1.107,
2010-10,0.751,
2011-01,1.093,
2011-04,0.992,
2011-07,0.852,
2011-10,0.850,
2012-01,0.869,
2012-04,0.883,
2012-07,0.791,
2012-10,0.778,
2013-01,1.068,
2013-04,1.217,
2013-07,0.706,
2013-10,0.716,
2014-01,0.669,
2014-04,0.614,
2014-07,0.629,
