"",BBNZ1.Q.DE.N.H.0948.A,BBNZ1.Q.DE.N.H.0948.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Information and communication,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:04,
1991-01,106.53,
1991-04,122.44,
1991-07,121.68,
1991-10,136.39,
1992-01,117.18,
1992-04,127.58,
1992-07,124.35,
1992-10,143.37,
1993-01,116.86,
1993-04,125.25,
1993-07,119.07,
1993-10,139.16,
1994-01,125.26,
1994-04,131.02,
1994-07,123.03,
1994-10,142.54,
1995-01,125.75,
1995-04,131.64,
1995-07,124.97,
1995-10,140.79,
1996-01,126.54,
1996-04,130.40,
1996-07,121.16,
1996-10,135.31,
1997-01,116.21,
1997-04,119.89,
1997-07,112.98,
1997-10,129.87,
1998-01,105.43,
1998-04,111.67,
1998-07,106.62,
1998-10,121.06,
1999-01,102.65,
1999-04,109.29,
1999-07,103.34,
1999-10,116.25,
2000-01,104.41,
2000-04,108.60,
2000-07,105.25,
2000-10,119.94,
2001-01,100.91,
2001-04,106.36,
2001-07,103.93,
2001-10,115.64,
2002-01,99.14,
2002-04,103.75,
2002-07,101.88,
2002-10,113.49,
2003-01,109.90,
2003-04,116.22,
2003-07,112.28,
2003-10,126.69,
2004-01,104.59,
2004-04,109.69,
2004-07,107.23,
2004-10,120.52,
2005-01,110.95,
2005-04,113.87,
2005-07,110.86,
2005-10,125.48,
2006-01,102.29,
2006-04,108.40,
2006-07,105.54,
2006-10,116.88,
2007-01,92.71,
2007-04,101.08,
2007-07,96.76,
2007-10,107.99,
2008-01,91.62,
2008-04,99.75,
2008-07,96.96,
2008-10,107.66,
2009-01,95.64,
2009-04,100.23,
2009-07,95.83,
2009-10,105.71,
2010-01,92.94,
2010-04,100.79,
2010-07,97.23,
2010-10,109.29,
2011-01,86.71,
2011-04,94.98,
2011-07,92.10,
2011-10,104.22,
2012-01,86.53,
2012-04,95.03,
2012-07,92.06,
2012-10,104.40,
2013-01,86.04,
2013-04,93.14,
2013-07,90.78,
2013-10,102.69,
2014-01,89.13,
2014-04,95.52,
2014-07,93.46,
2014-10,104.53,
