"",BBK01.OELL04G,BBK01.OELL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:58,
2002-01,7.754,
2002-04,7.562,
2002-07,7.586,
2002-10,7.690,
2003-01,7.450,
2003-04,7.023,
2003-07,6.708,
2003-10,6.696,
2004-01,6.427,
2004-04,6.017,
2004-07,5.794,
2004-10,5.814,
2005-01,5.544,
2005-04,5.347,
2005-07,5.141,
2005-10,5.505,
2006-01,5.675,
2006-04,5.674,
2006-07,5.908,
2006-10,6.569,
2007-01,7.054,
2007-04,7.654,
2007-07,8.487,
2007-10,9.831,
2008-01,10.479,
2008-04,11.545,
2008-07,12.350,
2008-10,14.864,
2009-01,12.507,
2009-04,10.375,
2009-07,8.017,
2009-10,6.432,
2010-01,5.598,
2010-04,5.118,
2010-07,4.839,
2010-10,4.990,
2011-01,4.769,
2011-04,4.870,
2011-07,5.046,
2011-10,5.603,
2012-01,5.404,
2012-04,5.161,
2012-07,4.747,
2012-10,4.483,
2013-01,4.033,
2013-04,3.524,
2013-07,3.279,
2013-10,3.222,
2014-01,2.932,
2014-04,2.923,
2014-07,2.797,
