"",BBK01.OEYB14L,BBK01.OEYB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:10,
2002-01,0.665,
2002-04,0.629,
2002-07,0.606,
2002-10,0.621,
2003-01,0.815,
2003-04,0.733,
2003-07,0.634,
2003-10,0.676,
2004-01,0.721,
2004-04,0.758,
2004-07,0.651,
2004-10,0.716,
2005-01,0.651,
2005-04,0.600,
2005-07,0.544,
2005-10,0.430,
2006-01,0.404,
2006-04,0.420,
2006-07,0.401,
2006-10,0.389,
2007-01,0.349,
2007-04,0.293,
2007-07,0.392,
2007-10,0.396,
2008-01,0.437,
2008-04,0.431,
2008-07,0.453,
2008-10,0.467,
2009-01,0.474,
2009-04,0.333,
2009-07,0.298,
2009-10,0.254,
2010-01,0.217,
2010-04,0.170,
2010-07,0.171,
2010-10,0.138,
2011-01,0.110,
2011-04,0.112,
2011-07,0.120,
2011-10,0.111,
2012-01,0.147,
2012-04,0.155,
2012-07,0.144,
2012-10,0.135,
2013-01,0.104,
2013-04,0.106,
2013-07,0.102,
2013-10,0.078,
2014-01,0.067,
2014-04,0.070,
2014-07,0.068,
