"",BBK01.OEAD40P,BBK01.OEAD40P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:12,
2002-01,0.167,
2002-04,0.174,
2002-07,0.167,
2002-10,0.162,
2003-01,0.164,
2003-04,0.161,
2003-07,0.142,
2003-10,0.145,
2004-01,0.140,
2004-04,0.140,
2004-07,0.138,
2004-10,0.128,
2005-01,0.123,
2005-04,0.117,
2005-07,0.119,
2005-10,0.111,
2006-01,0.103,
2006-04,0.110,
2006-07,0.112,
2006-10,0.107,
2007-01,0.102,
2007-04,0.099,
2007-07,0.096,
2007-10,0.099,
2008-01,0.107,
2008-04,0.104,
2008-07,0.107,
2008-10,0.112,
2009-01,0.107,
2009-04,0.111,
2009-07,0.113,
2009-10,0.112,
2010-01,0.112,
2010-04,0.119,
2010-07,0.124,
2010-10,0.125,
2011-01,0.124,
2011-04,0.133,
2011-07,0.118,
2011-10,0.115,
2012-01,0.118,
2012-04,0.116,
2012-07,0.115,
2012-10,0.113,
2013-01,0.103,
2013-04,0.106,
2013-07,0.103,
2013-10,0.108,
2014-01,0.097,
2014-04,0.098,
2014-07,0.097,
