"",BBEX3.D.BRL.EUR.BB.AC.000,BBEX3.D.BRL.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = BRL ... / Brazil,
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:57:26,
2000-01-13,1.8718,
2000-01-14,1.8425,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,1.8129,
2000-01-18,1.8066,
2000-01-19,1.8179,
2000-01-20,1.7969,
2000-01-21,1.7963,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,1.7678,
2000-01-25,1.7764,
2000-01-26,1.7824,
2000-01-27,1.7747,
2000-01-28,1.7613,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,1.7756,
2000-02-01,1.7420,
2000-02-02,1.7413,
2000-02-03,1.7293,
2000-02-04,1.7496,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,1.7253,
2000-02-08,1.7494,
2000-02-09,1.7529,
2000-02-10,1.7501,
2000-02-11,2.0141,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,1.7509,
2000-02-15,1.7361,
2000-02-16,1.7373,
2000-02-17,1.7631,
2000-02-18,1.7457,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,1.7540,
2000-02-22,1.7844,
2000-02-23,1.8017,
2000-02-24,1.7609,
2000-02-25,1.7428,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,1.7129,
2000-02-29,1.7203,
2000-03-01,1.7115,
2000-03-02,1.7121,
2000-03-03,1.6932,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,1.6823,
2000-03-07,1.6745,
2000-03-08,1.6657,
2000-03-09,1.6684,
2000-03-10,1.6683,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,1.7022,
2000-03-14,1.6748,
2000-03-15,1.6776,
2000-03-16,1.6775,
2000-03-17,1.6849,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,1.6894,
2000-03-21,1.6855,
2000-03-22,1.6618,
2000-03-23,1.6661,
2000-03-24,1.6642,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,1.6845,
2000-03-28,1.6873,
2000-03-29,1.6805,
2000-03-30,1.6669,
2000-03-31,1.6809,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,1.6579,
2000-04-04,1.6615,
2000-04-05,1.6884,
2000-04-06,1.6839,
2000-04-07,1.6704,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,1.6701,
2000-04-11,1.6718,
2000-04-12,1.6691,
2000-04-13,1.6746,
2000-04-14,1.6998,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,1.7102,
2000-04-18,1.6862,
2000-04-19,1.6661,
2000-04-20,1.6656,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,1.6683,
2000-04-26,1.6451,
2000-04-27,1.6516,
2000-04-28,1.6403,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,1.6459,
2000-05-03,1.6075,
2000-05-04,1.6252,
2000-05-05,1.6122,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,1.6118,
2000-05-09,1.6228,
2000-05-10,1.6497,
2000-05-11,1.6528,
2000-05-12,1.6491,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,1.6808,
2000-05-16,1.6539,
2000-05-17,1.6225,
2000-05-18,1.6368,
2000-05-19,1.6290,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,1.6565,
2000-05-23,1.6864,
2000-05-24,1.6881,
2000-05-25,1.6539,
2000-05-26,1.6892,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,1.7010,
2000-05-30,1.7197,
2000-05-31,1.7034,
2000-06-01,1.7023,
2000-06-02,1.7031,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,1.6994,
2000-06-06,1.6992,
2000-06-07,1.7231,
2000-06-08,1.7411,
2000-06-09,1.7115,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,1.7172,
2000-06-13,1.7312,
2000-06-14,1.7465,
2000-06-15,1.7243,
2000-06-16,1.7322,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,1.7386,
2000-06-20,1.7190,
2000-06-21,1.7060,
2000-06-22,1.7037,
2000-06-23,1.7061,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,1.7036,
2000-06-27,1.7133,
2000-06-28,1.7159,
2000-06-29,1.7302,
2000-06-30,1.7330,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,1.7159,
2000-07-04,1.7214,
2000-07-05,1.7257,
2000-07-06,1.7209,
2000-07-07,1.7084,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,1.7156,
2000-07-11,1.7096,
2000-07-12,1.7122,
2000-07-13,1.6861,
2000-07-14,1.6922,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,1.6857,
2000-07-18,1.6803,
2000-07-19,1.6557,
2000-07-20,1.6624,
2000-07-21,1.6821,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,1.6774,
2000-07-25,1.6858,
2000-07-26,1.6832,
2000-07-27,1.6783,
2000-07-28,1.6525,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,1.6513,
2000-08-01,1.6504,
2000-08-02,1.6350,
2000-08-03,1.6192,
2000-08-04,1.6206,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,1.6283,
2000-08-08,1.6271,
2000-08-09,1.6107,
2000-08-10,1.6211,
2000-08-11,1.6401,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,1.6233,
2000-08-15,1.6453,
2000-08-16,1.6366,
2000-08-17,1.6557,
2000-08-18,1.6515,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,1.6399,
2000-08-22,1.6360,
2000-08-23,1.6217,
2000-08-24,1.6420,
2000-08-25,1.6423,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,1.6415,
2000-08-29,1.6428,
2000-08-30,1.6263,
2000-08-31,1.6240,
2000-09-01,1.6233,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,1.6416,
2000-09-05,1.6226,
2000-09-06,1.6071,
2000-09-07,1.5795,
2000-09-08,1.5902,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,1.5630,
2000-09-12,1.5673,
2000-09-13,1.5832,
