"",BBK01.OEAA45O,BBK01.OEAA45O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:42,
2002-01,-3.742,
2002-04,-3.784,
2002-07,-3.629,
2002-10,-1.765,
2003-01,-1.105,
2003-04,-0.721,
2003-07,-0.264,
2003-10,1.236,
2004-01,0.639,
2004-04,0.821,
2004-07,2.735,
2004-10,4.476,
2005-01,12.778,
2005-04,12.495,
2005-07,12.514,
2005-10,12.281,
2006-01,11.968,
2006-04,11.806,
2006-07,11.581,
2006-10,11.535,
2007-01,11.391,
2007-04,11.254,
2007-07,10.939,
2007-10,10.718,
2008-01,10.055,
2008-04,9.480,
2008-07,6.417,
2008-10,5.928,
2009-01,5.859,
2009-04,5.763,
2009-07,5.786,
2009-10,5.877,
2010-01,5.962,
2010-04,6.127,
2010-07,6.648,
2010-10,7.040,
2011-01,7.119,
2011-04,7.494,
2011-07,7.812,
2011-10,7.829,
2012-01,7.914,
2012-04,8.433,
2012-07,8.272,
2012-10,8.324,
2013-01,8.136,
2013-04,8.009,
2013-07,8.958,
2013-10,8.939,
2014-01,8.878,
2014-04,8.502,
2014-07,8.657,
