"",BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Information and communication / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:12,
1991-01,112.92,
1991-04,121.66,
1991-07,127.99,
1991-10,125.28,
1992-01,123.91,
1992-04,126.71,
1992-07,130.61,
1992-10,131.72,
1993-01,123.23,
1993-04,124.55,
1993-07,125.01,
1993-10,128.00,
1994-01,131.70,
1994-04,130.42,
1994-07,129.06,
1994-10,131.11,
1995-01,132.05,
1995-04,131.25,
1995-07,131.05,
1995-10,129.34,
1996-01,132.82,
1996-04,130.08,
1996-07,126.83,
1996-10,124.12,
1997-01,122.17,
1997-04,119.84,
1997-07,118.24,
1997-10,119.02,
1998-01,111.06,
1998-04,111.76,
1998-07,111.52,
1998-10,110.94,
1999-01,108.24,
1999-04,109.40,
1999-07,107.81,
1999-10,106.62,
2000-01,110.09,
2000-04,108.88,
2000-07,109.63,
2000-10,110.21,
2001-01,106.24,
2001-04,106.74,
2001-07,107.96,
2001-10,106.37,
2002-01,104.25,
2002-04,104.26,
2002-07,105.63,
2002-10,104.28,
2003-01,115.78,
2003-04,116.85,
2003-07,116.18,
2003-10,116.20,
2004-01,110.63,
2004-04,110.34,
2004-07,110.84,
2004-10,110.19,
2005-01,117.98,
2005-04,114.41,
2005-07,114.34,
2005-10,114.47,
2006-01,109.27,
2006-04,108.83,
2006-07,108.66,
2006-10,106.60,
2007-01,99.32,
2007-04,101.28,
2007-07,99.39,
2007-10,98.49,
2008-01,98.29,
2008-04,99.81,
2008-07,99.50,
2008-10,98.17,
2009-01,102.75,
2009-04,100.09,
2009-07,98.23,
2009-10,96.44,
2010-01,99.97,
2010-04,100.54,
2010-07,99.75,
2010-10,99.72,
2011-01,93.36,
2011-04,94.67,
2011-07,94.63,
2011-10,95.02,
2012-01,93.24,
2012-04,94.64,
2012-07,94.61,
2012-10,95.13,
2013-01,92.65,
2013-04,92.71,
2013-07,93.26,
2013-10,93.68,
2014-01,95.74,
2014-04,95.06,
2014-07,95.92,
2014-10,95.59,
