"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:53,
1991-01,10.553,
1991-04,338.958,
1991-07,199.143,
1991-10,104.761,
1992-01,193.422,
1992-04,82.156,
1992-07,-76.896,
1992-10,284.743,
1993-01,91.843,
1993-04,851.371,
1993-07,-459.393,
1993-10,568.575,
1994-01,-535.262,
1994-04,187.196,
1994-07,-50.031,
1994-10,666.414,
1995-01,269.749,
1995-04,455.621,
1995-07,-444.391,
1995-10,379.851,
1996-01,187.094,
1996-04,-133.940,
1996-07,-407.363,
1996-10,154.840,
1997-01,466.653,
1997-04,109.209,
1997-07,755.443,
1997-10,237.532,
1998-01,1774.267,
1998-04,582.313,
1998-07,435.050,
1998-10,5009.421,
1999-01,-14131.145,
1999-04,-12507.532,
1999-07,27559.899,
1999-10,1993.841,
2000-01,-15266.742,
2000-04,8343.035,
2000-07,-17415.192,
2000-10,28719.805,
2001-01,2319.984,
2001-04,-1674.250,
2001-07,101.672,
2001-10,2076.841,
2002-01,3314.007,
2002-04,3253.908,
2002-07,2733.114,
2002-10,3520.871,
2003-01,2616.647,
2003-04,4126.979,
2003-07,-3679.455,
2003-10,-823.071,
2004-01,4056.994,
2004-04,3684.980,
2004-07,-5268.626,
2004-10,4202.301,
2005-01,-2247.630,
2005-04,2024.655,
2005-07,933.833,
2005-10,3439.120,
2006-01,9862.752,
2006-04,-2786.480,
2006-07,-689.565,
2006-10,3227.777,
2007-01,584.813,
2007-04,2922.624,
2007-07,506.395,
2007-10,4202.324,
2008-01,3563.687,
2008-04,-895.524,
2008-07,3478.797,
2008-10,-2413.951,
2009-01,16.935,
2009-04,598.977,
2009-07,1011.257,
2009-10,1912.358,
2010-01,-2430.260,
2010-04,2330.948,
2010-07,14664.858,
2010-10,1104.724,
2011-01,4857.789,
2011-04,-7742.721,
2011-07,1382.646,
2011-10,-3594.770,
2012-01,-7830.193,
2012-04,-12511.902,
2012-07,-6290.702,
2012-10,-6883.199,
2013-01,16156.283,
2013-04,4730.064,
2013-07,-3121.532,
2013-10,-5283.045,
2014-01,99.606,Provisional value
2014-04,-1612.214,Provisional value
2014-07,-2410.121,Provisional value
2014-10,-837.719,Provisional value
