"",BBK01.OEAF01L,BBK01.OEAF01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:11,
2002-01,84.380,
2002-04,86.383,
2002-07,88.335,
2002-10,88.088,
2003-01,89.450,
2003-04,93.725,
2003-07,98.312,
2003-10,101.505,
2004-01,101.636,
2004-04,104.213,
2004-07,105.187,
2004-10,106.034,
2005-01,107.074,
2005-04,108.641,
2005-07,111.162,
2005-10,112.687,
2006-01,113.430,
2006-04,111.326,
2006-07,116.161,
2006-10,116.922,
2007-01,113.955,
2007-04,116.857,
2007-07,123.373,
2007-10,127.748,
2008-01,127.799,
2008-04,126.864,
2008-07,131.705,
2008-10,130.573,
2009-01,131.067,
2009-04,133.256,
2009-07,134.662,
2009-10,136.341,
2010-01,135.622,
2010-04,136.374,
2010-07,137.209,
2010-10,138.250,
2011-01,137.086,
2011-04,138.052,
2011-07,139.454,
2011-10,140.435,
2012-01,139.932,
2012-04,141.051,
2012-07,143.124,
2012-10,143.539,
2013-01,143.359,
2013-04,143.833,
2013-07,144.890,
2013-10,145.515,
2014-01,145.556,
2014-04,146.553,
2014-07,147.673,
