"",BBFB1.Q.N.DE.AU.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:40,
1991-01,386.353,
1991-04,376.487,
1991-07,438.447,
1991-10,431.455,
1992-01,454.424,
1992-04,490.210,
1992-07,468.520,
1992-10,531.080,
1993-01,457.512,
1993-04,450.833,
1993-07,499.581,
1993-10,590.919,
1994-01,417.725,
1994-04,557.991,
1994-07,605.014,
1994-10,701.648,
1995-01,622.052,
1995-04,486.769,
1995-07,529.134,
1995-10,575.906,
1996-01,555.530,
1996-04,643.716,
1996-07,700.984,
1996-10,693.847,
1997-01,625.197,
1997-04,750.623,
1997-07,791.543,
1997-10,804.259,
1998-01,725.884,
1998-04,789.921,
1998-07,838.947,
1998-10,815.863,
1999-01,714.667,
1999-04,745.566,
1999-07,865.955,
1999-10,983.220,
2000-01,802.115,
2000-04,764.786,
2000-07,774.765,
2000-10,840.521,
2001-01,862.816,
2001-04,966.744,
2001-07,1004.565,
2001-10,1366.421,
2002-01,779.651,
2002-04,814.908,
2002-07,1034.146,
2002-10,991.901,
2003-01,903.732,
2003-04,973.813,
2003-07,1153.284,
2003-10,1073.543,
2004-01,1042.542,
2004-04,1210.807,
2004-07,1287.095,
2004-10,1153.996,
2005-01,1214.127,
2005-04,1235.565,
2005-07,1369.053,
2005-10,1315.397,
2006-01,1258.182,
2006-04,1292.126,
2006-07,1502.687,
2006-10,1637.219,
2007-01,1368.326,
2007-04,1423.525,
2007-07,1703.006,
2007-10,1598.081,
2008-01,1746.506,
2008-04,1720.291,
2008-07,1775.848,
2008-10,1794.043,
2009-01,1201.142,
2009-04,1495.021,
2009-07,1695.701,
2009-10,1747.582,
2010-01,1761.051,
2010-04,1932.307,
2010-07,2062.758,
2010-10,1980.407,
2011-01,1891.629,
2011-04,2174.811,
2011-07,2231.815,
2011-10,2019.470,
2012-01,2345.430,
2012-04,2375.022,
2012-07,2527.526,
2012-10,2449.013,
2013-01,2185.230,
2013-04,2299.033,
2013-07,2372.271,
2013-10,2206.711,
2014-01,1947.491,Provisional value
2014-04,2109.349,Provisional value
2014-07,2243.492,Provisional value
