"",BBK01.OEBO02L,BBK01.OEBO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:47,
2002-01,-2.375,
2002-04,-1.598,
2002-07,0.066,
2002-10,-1.158,
2003-01,-0.844,
2003-04,-0.661,
2003-07,-2.705,
2003-10,-1.377,
2004-01,-1.596,
2004-04,-1.175,
2004-07,-3.798,
2004-10,-1.605,
2005-01,1.274,
2005-04,1.271,
2005-07,-1.115,
2005-10,-1.130,
2006-01,-1.603,
2006-04,-1.530,
2006-07,-1.191,
2006-10,-1.662,
2007-01,-1.570,
2007-04,-1.539,
2007-07,-1.161,
2007-10,-1.273,
2008-01,-1.237,
2008-04,-1.113,
2008-07,-0.999,
2008-10,-2.520,
2009-01,-0.478,
2009-04,0.232,
2009-07,2.217,
2009-10,2.149,
2010-01,6.806,
2010-04,4.223,
2010-07,3.245,
2010-10,5.003,
2011-01,3.567,
2011-04,1.568,
2011-07,1.208,
2011-10,1.100,
2012-01,1.868,
2012-04,0.978,
2012-07,1.169,
2012-10,1.034,
2013-01,1.310,
2013-04,0.906,
2013-07,0.912,
2013-10,0.903,
2014-01,0.808,
2014-04,0.637,
2014-07,1.186,
