"",BBK01.OEAA53S,BBK01.OEAA53S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:15,
2002-01,0.010,
2002-04,0.010,
2002-07,0.010,
2002-10,0.022,
2003-01,0.020,
2003-04,0.021,
2003-07,0.073,
2003-10,0.077,
2004-01,0.067,
2004-04,0.064,
2004-07,0.069,
2004-10,0.020,
2005-01,0.019,
2005-04,0.023,
2005-07,0.033,
2005-10,0.036,
2006-01,0.036,
2006-04,0.037,
2006-07,0.039,
2006-10,0.042,
2007-01,0.043,
2007-04,0.047,
2007-07,0.044,
2007-10,0.047,
2008-01,0.048,
2008-04,0.071,
2008-07,0.111,
2008-10,0.115,
2009-01,0.118,
2009-04,0.122,
2009-07,0.122,
2009-10,0.129,
2010-01,0.109,
2010-04,0.116,
2010-07,0.112,
2010-10,0.111,
2011-01,0.109,
2011-04,0.113,
2011-07,0.118,
2011-10,0.113,
2012-01,0.111,
2012-04,0.122,
2012-07,0.131,
2012-10,0.134,
2013-01,0.133,
2013-04,0.116,
2013-07,0.103,
2013-10,0.112,
2014-01,0.110,
2014-04,0.116,
2014-07,0.116,
