"",BBK01.OEAD07O,BBK01.OEAD07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:41,
2002-01,0.532,
2002-04,0.535,
2002-07,0.511,
2002-10,0.512,
2003-01,0.496,
2003-04,0.504,
2003-07,0.460,
2003-10,0.452,
2004-01,0.456,
2004-04,0.438,
2004-07,0.421,
2004-10,0.389,
2005-01,0.384,
2005-04,0.390,
2005-07,0.403,
2005-10,0.389,
2006-01,0.415,
2006-04,0.439,
2006-07,0.447,
2006-10,0.474,
2007-01,0.482,
2007-04,0.520,
2007-07,0.526,
2007-10,0.559,
2008-01,0.570,
2008-04,0.607,
2008-07,0.519,
2008-10,0.370,
2009-01,0.360,
2009-04,0.351,
2009-07,0.326,
2009-10,0.292,
2010-01,0.355,
2010-04,0.465,
2010-07,0.496,
2010-10,0.428,
2011-01,0.427,
2011-04,0.487,
2011-07,0.493,
2011-10,0.457,
2012-01,0.462,
2012-04,0.438,
2012-07,0.431,
2012-10,0.431,
2013-01,0.429,
2013-04,0.431,
2013-07,0.434,
2013-10,0.405,
2014-01,0.409,
2014-04,0.426,
2014-07,0.441,
