"",BBNZ1.Q.DE.N.H.0939.A,BBNZ1.Q.DE.N.H.0939.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Financial and insurance activities,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:01,
1991-01,46.22,
1991-04,47.47,
1991-07,50.46,
1991-10,62.34,
1992-01,49.51,
1992-04,53.23,
1992-07,54.94,
1992-10,68.17,
1993-01,52.01,
1993-04,52.04,
1993-07,54.26,
1993-10,67.97,
1994-01,52.96,
1994-04,54.11,
1994-07,56.57,
1994-10,71.78,
1995-01,56.50,
1995-04,59.25,
1995-07,60.71,
1995-10,74.12,
1996-01,56.24,
1996-04,56.25,
1996-07,60.61,
1996-10,73.26,
1997-01,56.51,
1997-04,57.16,
1997-07,59.92,
1997-10,73.71,
1998-01,57.63,
1998-04,58.83,
1998-07,60.56,
1998-10,73.14,
1999-01,53.20,
1999-04,54.56,
1999-07,56.03,
1999-10,72.97,
2000-01,59.17,
2000-04,64.39,
2000-07,67.69,
2000-10,82.24,
2001-01,59.43,
2001-04,59.56,
2001-07,62.14,
2001-10,80.14,
2002-01,62.35,
2002-04,63.66,
2002-07,70.40,
2002-10,91.20,
2003-01,73.05,
2003-04,78.28,
2003-07,84.74,
2003-10,105.40,
2004-01,83.22,
2004-04,86.83,
2004-07,91.39,
2004-10,113.38,
2005-01,86.85,
2005-04,89.42,
2005-07,92.87,
2005-10,116.87,
2006-01,93.05,
2006-04,91.45,
2006-07,85.86,
2006-10,116.94,
2007-01,86.13,
2007-04,89.12,
2007-07,88.81,
2007-10,114.30,
2008-01,87.36,
2008-04,92.01,
2008-07,92.31,
2008-10,119.74,
2009-01,88.32,
2009-04,99.10,
2009-07,100.73,
2009-10,127.70,
2010-01,90.69,
2010-04,92.15,
2010-07,95.70,
2010-10,121.40,
2011-01,92.36,
2011-04,95.99,
2011-07,96.98,
2011-10,122.74,
2012-01,93.60,
2012-04,95.28,
2012-07,96.02,
2012-10,121.80,
2013-01,95.61,
2013-04,101.24,
2013-07,99.75,
2013-10,127.57,
2014-01,96.54,
2014-04,104.95,
2014-07,103.27,
2014-10,130.67,
