"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:36,
2009-09,9717,
2009-10,9607,
2009-11,9767,
2009-12,10293,
2010-01,10311,
2010-02,10387,
2010-03,11079,
2010-04,10955,
2010-05,10391,
2010-06,10265,
2010-07,10848,
2010-08,10973,
2010-09,11601,
2010-10,11800,
2010-11,12103,
2010-12,12892,
2011-01,12629,
2011-02,12923,
2011-03,12350,
2011-04,12689,
2011-05,12892,
2011-06,12445,
2011-07,12563,
2011-08,11291,
2011-09,10801,
2011-10,11828,
2011-11,11720,
2011-12,12206,
2012-01,12534,
2012-02,12898,
2012-03,12922,
2012-04,13253,
2012-05,12357,
2012-06,12654,
2012-07,13422,
2012-08,13422,
2012-09,13545,
2012-10,13557,
2012-11,13715,
2012-12,14052,
2013-01,14304,
2013-02,14730,
2013-03,15128,
2013-04,15391,
2013-05,15661,
2013-06,15070,
2013-07,16036,
2013-08,15961,
2013-09,16198,
2013-10,16628,
2013-11,16977,
2013-12,17142,
2014-01,16940,
2014-02,17715,
2014-03,17385,
2014-04,17740,
2014-05,18095,
2014-06,17888,
2014-07,18089,
2014-08,18409,
2014-09,18235,
2014-10,18134,
2014-11,18598,
