"",BBK01.OELJ08N,BBK01.OELJ08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:06,
2002-01,0.334,
2002-04,0.339,
2002-07,0.344,
2002-10,0.330,
2003-01,0.378,
2003-04,0.407,
2003-07,0.418,
2003-10,0.403,
2004-01,0.442,
2004-04,0.454,
2004-07,0.481,
2004-10,0.438,
2005-01,0.452,
2005-04,0.466,
2005-07,0.415,
2005-10,0.405,
2006-01,0.389,
2006-04,0.382,
2006-07,0.389,
2006-10,0.355,
2007-01,0.358,
2007-04,0.363,
2007-07,0.386,
2007-10,0.377,
2008-01,0.379,
2008-04,0.396,
2008-07,0.405,
2008-10,0.386,
2009-01,0.481,
2009-04,0.517,
2009-07,0.621,
2009-10,0.601,
2010-01,0.711,
2010-04,0.775,
2010-07,0.807,
2010-10,0.795,
2011-01,0.792,
2011-04,0.756,
2011-07,0.764,
2011-10,0.744,
2012-01,0.753,
2012-04,0.749,
2012-07,0.837,
2012-10,0.871,
2013-01,0.905,
2013-04,0.898,
2013-07,0.922,
2013-10,0.874,
2014-01,0.912,
2014-04,0.906,
2014-07,0.922,
