"",BBK01.OELI06I,BBK01.OELI06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:57,
2002-01,0.338,
2002-04,0.346,
2002-07,0.356,
2002-10,0.370,
2003-01,0.356,
2003-04,0.552,
2003-07,0.344,
2003-10,0.339,
2004-01,0.305,
2004-04,0.305,
2004-07,0.299,
2004-10,0.299,
2005-01,0.294,
2005-04,0.293,
2005-07,0.298,
2005-10,0.295,
2006-01,0.278,
2006-04,0.277,
2006-07,0.274,
2006-10,0.262,
2007-01,0.251,
2007-04,0.262,
2007-07,0.266,
2007-10,0.278,
2008-01,0.287,
2008-04,0.285,
2008-07,0.287,
2008-10,0.292,
2009-01,0.275,
2009-04,0.255,
2009-07,0.249,
2009-10,0.256,
2010-01,0.249,
2010-04,0.251,
2010-07,0.239,
2010-10,0.245,
2011-01,0.259,
2011-04,0.279,
2011-07,0.289,
2011-10,0.305,
2012-01,0.291,
2012-04,0.278,
2012-07,0.266,
2012-10,0.218,
2013-01,0.211,
2013-04,0.192,
2013-07,0.191,
2013-10,0.192,
2014-01,0.180,
2014-04,0.152,
2014-07,0.141,
