"",BBK01.OEAE01L,BBK01.OEAE01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:03,
2002-01,101.088,
2002-04,98.728,
2002-07,101.125,
2002-10,102.893,
2003-01,109.604,
2003-04,111.565,
2003-07,112.154,
2003-10,110.065,
2004-01,110.510,
2004-04,111.040,
2004-07,110.858,
2004-10,111.066,
2005-01,111.821,
2005-04,111.283,
2005-07,116.557,
2005-10,109.840,
2006-01,109.909,
2006-04,109.491,
2006-07,107.711,
2006-10,105.600,
2007-01,105.632,
2007-04,106.288,
2007-07,111.103,
2007-10,115.261,
2008-01,113.949,
2008-04,111.661,
2008-07,115.253,
2008-10,112.903,
2009-01,108.553,
2009-04,108.544,
2009-07,103.473,
2009-10,101.079,
2010-01,100.238,
2010-04,105.911,
2010-07,96.864,
2010-10,97.135,
2011-01,95.696,
2011-04,94.138,
2011-07,93.239,
2011-10,89.628,
2012-01,89.837,
2012-04,90.968,
2012-07,89.683,
2012-10,84.920,
2013-01,83.210,
2013-04,81.553,
2013-07,80.602,
2013-10,79.509,
2014-01,77.997,
2014-04,77.400,
2014-07,76.610,
