"",BBK01.OEXB12I,BBK01.OEXB12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:12,
2002-01,5.997,
2002-04,6.172,
2002-07,6.140,
2002-10,6.223,
2003-01,6.235,
2003-04,6.215,
2003-07,5.775,
2003-10,5.161,
2004-01,5.171,
2004-04,5.138,
2004-07,5.153,
2004-10,5.460,
2005-01,5.597,
2005-04,5.738,
2005-07,5.464,
2005-10,5.212,
2006-01,5.339,
2006-04,5.398,
2006-07,4.899,
2006-10,5.335,
2007-01,5.483,
2007-04,5.603,
2007-07,5.812,
2007-10,6.279,
2008-01,6.230,
2008-04,7.444,
2008-07,7.742,
2008-10,7.817,
2009-01,8.056,
2009-04,8.313,
2009-07,8.458,
2009-10,8.562,
2010-01,8.671,
2010-04,8.872,
2010-07,9.263,
2010-10,9.782,
2011-01,9.829,
2011-04,10.003,
2011-07,10.247,
2011-10,11.161,
2012-01,11.576,
2012-04,11.496,
2012-07,11.635,
2012-10,11.824,
2013-01,11.713,
2013-04,11.725,
2013-07,11.921,
2013-10,12.374,
2014-01,12.392,
2014-04,12.502,
2014-07,12.757,
