"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:36,
1991-01,6.20,
1991-04,1.43,
1991-07,3.91,
1991-10,7.32,
1992-01,6.09,
1992-04,4.75,
1992-07,8.05,
1992-10,5.47,
1993-01,9.00,
1993-04,8.13,
1993-07,8.25,
1993-10,10.29,
1994-01,10.13,
1994-04,12.29,
1994-07,11.41,
1994-10,10.27,
1995-01,12.00,
1995-04,12.06,
1995-07,13.27,
1995-10,13.74,
1996-01,12.94,
1996-04,13.18,
1996-07,16.31,
1996-10,16.50,
1997-01,13.35,
1997-04,16.28,
1997-07,18.50,
1997-10,19.76,
1998-01,16.40,
1998-04,18.19,
1998-07,18.06,
1998-10,18.57,
1999-01,14.34,
1999-04,16.96,
1999-07,16.55,
1999-10,19.84,
2000-01,16.73,
2000-04,17.39,
2000-07,14.60,
2000-10,15.41,
2001-01,22.50,
2001-04,21.65,
2001-07,26.57,
2001-10,31.42,
2002-01,34.21,
2002-04,34.11,
2002-07,37.79,
2002-10,37.38,
2003-01,28.17,
2003-04,30.21,
2003-07,37.94,
2003-10,35.03,
2004-01,37.66,
2004-04,43.33,
2004-07,35.63,
2004-10,34.84,
2005-01,41.43,
2005-04,37.54,
2005-07,41.13,
2005-10,35.84,
2006-01,35.77,
2006-04,35.36,
2006-07,40.78,
2006-10,49.40,
2007-01,46.49,
2007-04,49.36,
2007-07,53.34,
2007-10,53.83,
2008-01,51.35,
2008-04,50.98,
2008-07,42.21,
2008-10,37.93,
2009-01,26.66,
2009-04,33.62,
2009-07,36.04,
2009-10,43.54,
2010-01,37.45,
2010-04,37.18,
2010-07,40.28,
2010-10,43.01,
2011-01,40.71,
2011-04,37.84,
2011-07,41.14,
2011-10,40.83,
2012-01,47.59,
2012-04,49.50,
2012-07,53.25,
2012-10,48.18,
2013-01,53.06,
2013-04,54.07,
2013-07,48.56,
2013-10,54.15,
2014-01,53.46,
2014-04,54.66,
2014-07,60.39,
2014-10,62.92,
