"",BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.O.F2.S._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.O.F2.S._T.N.N_FLAGS
"","IIP - Other Investment - Currency and deposits - Deposit taking corporations, except the Central Bank - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:41,
1999-10,489701,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,598258,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,661537,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,635512,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,619792,
2004-01,692798,
2004-04,642259,
2004-07,660535,
2004-10,652466,
2005-01,725527,
2005-04,715356,
2005-07,719530,
2005-10,706761,
2006-01,764167,
2006-04,757536,
2006-07,770916,
2006-10,761154,
2007-01,803404,
2007-04,822934,
2007-07,868771,
2007-10,826808,
2008-01,911676,
2008-04,880411,
2008-07,923746,
2008-10,770631,
2009-01,760548,
2009-04,745585,
2009-07,697401,
2009-10,675718,
2010-01,740142,
2010-04,834013,
2010-07,817145,
2010-10,772814,
2011-01,726230,
2011-04,699249,
2011-07,797001,
2011-10,693925,
2012-01,937595,
2012-04,901642,
2012-07,883351,
2012-10,753453,
2013-01,759015,
2013-04,741774,
2013-07,687913,
2013-10,615550,
2014-01,651416,
2014-04,661962,
2014-07,710771,
