"",BBK01.OEHI06Q,BBK01.OEHI06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:59,
2002-01,1.088,
2002-04,1.103,
2002-07,1.080,
2002-10,1.066,
2003-01,1.034,
2003-04,1.005,
2003-07,0.981,
2003-10,1.000,
2004-01,1.074,
2004-04,0.996,
2004-07,0.988,
2004-10,0.964,
2005-01,0.900,
2005-04,0.886,
2005-07,0.853,
2005-10,0.844,
2006-01,0.827,
2006-04,0.837,
2006-07,0.816,
2006-10,0.786,
2007-01,0.788,
2007-04,0.772,
2007-07,0.767,
2007-10,0.760,
2008-01,0.751,
2008-04,0.739,
2008-07,0.797,
2008-10,0.804,
2009-01,0.779,
2009-04,0.756,
2009-07,0.726,
2009-10,0.706,
2010-01,0.689,
2010-04,0.694,
2010-07,1.151,
2010-10,1.234,
2011-01,1.010,
2011-04,1.016,
2011-07,0.942,
2011-10,0.921,
2012-01,0.903,
2012-04,0.888,
2012-07,0.868,
2012-10,0.825,
2013-01,0.814,
2013-04,0.776,
2013-07,0.747,
2013-10,0.725,
2014-01,0.655,
2014-04,0.651,
2014-07,0.606,
