"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:10,
1991-01,368.015,
1991-04,536.107,
1991-07,194.614,
1991-10,673.797,
1992-01,549.834,
1992-04,237.525,
1992-07,247.176,
1992-10,517.904,
1993-01,-55.267,
1993-04,-119.081,
1993-07,-251.578,
1993-10,162.316,
1994-01,586.758,
1994-04,448.888,
1994-07,320.270,
1994-10,757.714,
1995-01,46.679,
1995-04,616.442,
1995-07,1298.188,
1995-10,-41.330,
1996-01,488.191,
1996-04,1406.896,
1996-07,425.156,
1996-10,1456.777,
1997-01,302.004,
1997-04,-352.446,
1997-07,917.995,
1997-10,1181.892,
1998-01,1444.321,
1998-04,1509.798,
1998-07,1232.654,
1998-10,-340.497,
1999-01,-207.954,
1999-04,693.147,
1999-07,618.297,
1999-10,931.234,
2000-01,428.401,
2000-04,908.542,
2000-07,1443.144,
2000-10,109.892,
2001-01,-508.529,
2001-04,-284.932,
2001-07,-400.708,
2001-10,440.905,
2002-01,-639.704,
2002-04,-353.101,
2002-07,-899.485,
2002-10,-680.351,
2003-01,-941.471,
2003-04,-1102.697,
2003-07,-152.428,
2003-10,-197.301,
2004-01,-136.733,
2004-04,151.267,
2004-07,-589.415,
2004-10,1109.121,
2005-01,-612.237,
2005-04,79.312,
2005-07,-591.261,
2005-10,1112.110,
2006-01,-78.201,
2006-04,548.909,
2006-07,-48.952,
2006-10,1008.880,
2007-01,611.330,
2007-04,2015.215,
2007-07,852.512,
2007-10,634.128,
2008-01,1807.893,
2008-04,1165.957,
2008-07,869.860,
2008-10,-1557.716,
2009-01,-130.158,
2009-04,-1451.040,
2009-07,907.148,
2009-10,566.794,
2010-01,1092.891,
2010-04,879.283,
2010-07,1871.721,
2010-10,831.174,
2011-01,1741.236,
2011-04,1952.551,
2011-07,1352.977,
2011-10,1487.386,
2012-01,1496.563,
2012-04,186.839,
2012-07,-108.053,
2012-10,1593.343,
2013-01,1077.538,
2013-04,1731.457,
2013-07,1715.302,
2013-10,1289.477,
2014-01,1206.913,Provisional value
2014-04,463.434,Provisional value
2014-07,865.855,Provisional value
2014-10,983.725,Provisional value
