"",BBK01.OEYB19I,BBK01.OEYB19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:45,
2002-01,0.157,
2002-04,0.170,
2002-07,0.163,
2002-10,0.144,
2003-01,0.152,
2003-04,0.158,
2003-07,0.233,
2003-10,0.205,
2004-01,0.429,
2004-04,0.433,
2004-07,0.416,
2004-10,0.432,
2005-01,0.415,
2005-04,0.425,
2005-07,0.409,
2005-10,0.404,
2006-01,0.365,
2006-04,0.366,
2006-07,0.354,
2006-10,0.281,
2007-01,0.268,
2007-04,0.265,
2007-07,0.251,
2007-10,0.235,
2008-01,0.215,
2008-04,0.422,
2008-07,0.407,
2008-10,0.377,
2009-01,0.369,
2009-04,0.372,
2009-07,0.463,
2009-10,0.452,
2010-01,0.439,
2010-04,0.455,
2010-07,0.463,
2010-10,0.463,
2011-01,0.487,
2011-04,0.425,
2011-07,0.392,
2011-10,0.360,
2012-01,0.326,
2012-04,0.305,
2012-07,0.186,
2012-10,0.199,
2013-01,0.173,
2013-04,0.162,
2013-07,0.149,
2013-10,0.139,
2014-01,0.138,
2014-04,0.134,
2014-07,0.127,
