"",BBDE1.M.DE.Y.BAA1.A2R100050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R100050.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 10+11+12 Manufacture of food products; beverages and tobacco products / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:40,
1991-01,83.6,
1991-02,81.5,
1991-03,80.8,
1991-04,81.0,
1991-05,81.8,
1991-06,79.5,
1991-07,79.7,
1991-08,80.8,
1991-09,79.2,
1991-10,80.4,
1991-11,80.6,
1991-12,80.8,
1992-01,83.6,
1992-02,78.8,
1992-03,77.7,
1992-04,80.9,
1992-05,77.8,
1992-06,78.5,
1992-07,79.5,
1992-08,79.3,
1992-09,81.9,
1992-10,80.8,
1992-11,79.8,
1992-12,82.0,
1993-01,79.1,
1993-02,78.1,
1993-03,79.7,
1993-04,79.3,
1993-05,77.7,
1993-06,79.5,
1993-07,80.3,
1993-08,80.1,
1993-09,84.5,
1993-10,80.9,
1993-11,81.3,
1993-12,82.7,
1994-01,81.2,
1994-02,82.3,
1994-03,83.2,
1994-04,80.4,
1994-05,81.0,
1994-06,82.8,
1994-07,84.7,
1994-08,84.2,
1994-09,82.1,
1994-10,84.0,
1994-11,85.2,
1994-12,81.9,
1995-01,84.0,
1995-02,87.9,
1995-03,87.0,
1995-04,85.8,
1995-05,87.1,
1995-06,86.1,
1995-07,87.1,
1995-08,87.6,
1995-09,86.5,
1995-10,86.6,
1995-11,86.7,
1995-12,84.7,
1996-01,87.0,
1996-02,88.1,
1996-03,88.9,
1996-04,89.4,
1996-05,88.1,
1996-06,88.6,
1996-07,87.3,
1996-08,88.7,
1996-09,90.3,
1996-10,88.0,
1996-11,88.0,
1996-12,88.3,
1997-01,92.0,
1997-02,91.5,
1997-03,91.2,
1997-04,89.0,
1997-05,91.7,
1997-06,88.9,
1997-07,88.9,
1997-08,89.1,
1997-09,90.2,
1997-10,90.5,
1997-11,88.4,
1997-12,91.9,
1998-01,92.4,
1998-02,90.1,
1998-03,88.7,
1998-04,91.5,
1998-05,90.1,
1998-06,89.7,
1998-07,88.7,
1998-08,88.6,
1998-09,87.8,
1998-10,88.1,
1998-11,88.1,
1998-12,90.0,
1999-01,91.2,
1999-02,89.7,
1999-03,91.3,
1999-04,89.8,
1999-05,90.9,
1999-06,92.0,
1999-07,93.2,
1999-08,92.3,
1999-09,93.2,
1999-10,92.9,
1999-11,94.4,
1999-12,94.5,
2000-01,89.6,
2000-02,92.4,
2000-03,94.2,
2000-04,95.6,
2000-05,94.1,
2000-06,95.6,
2000-07,94.1,
2000-08,94.7,
2000-09,94.6,
2000-10,94.2,
2000-11,95.5,
2000-12,92.9,
2001-01,92.1,
2001-02,94.5,
2001-03,94.7,
2001-04,93.1,
2001-05,94.3,
2001-06,93.7,
2001-07,92.7,
2001-08,95.5,
2001-09,93.4,
2001-10,94.2,
2001-11,93.1,
2001-12,93.1,
2002-01,93.6,
2002-02,93.2,
2002-03,94.9,
2002-04,92.8,
2002-05,93.5,
2002-06,91.4,
2002-07,94.2,
2002-08,94.4,
2002-09,95.6,
2002-10,95.3,
2002-11,94.8,
2002-12,93.0,
2003-01,93.3,
2003-02,92.1,
2003-03,92.7,
2003-04,95.4,
2003-05,92.0,
2003-06,94.4,
2003-07,95.4,
2003-08,93.0,
2003-09,92.1,
2003-10,94.2,
2003-11,91.8,
2003-12,93.0,
2004-01,95.5,
2004-02,95.5,
2004-03,94.2,
2004-04,95.1,
2004-05,91.8,
2004-06,93.7,
2004-07,95.5,
2004-08,93.8,
2004-09,94.3,
2004-10,93.4,
2004-11,94.1,
2004-12,94.6,
2005-01,93.7,
2005-02,95.4,
2005-03,96.1,
2005-04,96.1,
2005-05,97.6,
