"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:17,
1991-01,0.050,
1991-04,-0.060,
1991-07,-0.093,
1991-10,-0.055,
1992-01,0.328,
1992-04,0.060,
1992-07,-0.013,
1992-10,0.096,
1993-01,0.615,
1993-04,1.545,
1993-07,0.317,
1993-10,0.681,
1994-01,-0.032,
1994-04,-0.842,
1994-07,0.400,
1994-10,-0.207,
1995-01,1.141,
1995-04,2.885,
1995-07,-1.559,
1995-10,0.344,
1996-01,-0.005,
1996-04,-0.067,
1996-07,-0.078,
1996-10,1.317,
1997-01,1.546,
1997-04,0.135,
1997-07,7.802,
1997-10,0.000,
1998-01,2.965,
1998-04,1.535,
1998-07,-1.493,
1998-10,1.717,
1999-01,4.667,
1999-04,2.938,
1999-07,-5.191,
1999-10,8.069,
2000-01,2.761,
2000-04,44.181,
2000-07,-42.306,
2000-10,-9.316,
2001-01,-3.407,
2001-04,-36.629,
2001-07,-61.982,
2001-10,-73.330,
2002-01,-94.503,
2002-04,-127.405,
2002-07,-119.439,
2002-10,0.355,
2003-01,-5.066,
2003-04,-0.013,
2003-07,-2.848,
2003-10,-0.370,
2004-01,-2.329,
2004-04,-0.704,
2004-07,-0.920,
2004-10,1.392,
2005-01,-4.926,
2005-04,4.039,
2005-07,-2.495,
2005-10,4.541,
2006-01,-7.387,
2006-04,3.801,
2006-07,-5.680,
2006-10,4.175,
2007-01,45.062,
2007-04,12.727,
2007-07,8.797,
2007-10,20.012,
2008-01,0.328,
2008-04,0.315,
2008-07,-25.719,
2008-10,-38.727,
2009-01,-3.753,
2009-04,21.071,
2009-07,16.763,
2009-10,0.146,
2010-01,10.543,
2010-04,5.151,
2010-07,5.783,
2010-10,3.333,
2011-01,2.294,
2011-04,-6.424,
2011-07,-4.625,
2011-10,3.028,
2012-01,4.839,
2012-04,7.516,
2012-07,13.834,
2012-10,17.618,
2013-01,-6.210,
2013-04,-26.770,
2013-07,0.826,
2013-10,2.952,
2014-01,-1.464,Provisional value
2014-04,-16.063,Provisional value
2014-07,0.105,Provisional value
2014-10,-37.131,Provisional value
