"",BBK01.OEAC07Q,BBK01.OEAC07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:15,
2002-01,1.599,
2002-04,1.499,
2002-07,1.444,
2002-10,1.501,
2003-01,1.583,
2003-04,1.693,
2003-07,1.841,
2003-10,1.869,
2004-01,1.728,
2004-04,1.502,
2004-07,1.377,
2004-10,1.264,
2005-01,1.289,
2005-04,1.352,
2005-07,1.193,
2005-10,1.177,
2006-01,1.213,
2006-04,1.269,
2006-07,1.258,
2006-10,1.286,
2007-01,1.255,
2007-04,1.144,
2007-07,1.220,
2007-10,1.288,
2008-01,1.377,
2008-04,1.224,
2008-07,1.236,
2008-10,1.250,
2009-01,1.259,
2009-04,1.132,
2009-07,1.263,
2009-10,1.258,
2010-01,4.989,
2010-04,5.223,
2010-07,4.653,
2010-10,4.617,
2011-01,5.538,
2011-04,5.515,
2011-07,2.375,
2011-10,2.349,
2012-01,2.345,
2012-04,2.448,
2012-07,2.375,
2012-10,5.699,
2013-01,5.473,
2013-04,5.033,
2013-07,4.761,
2013-10,9.039,
2014-01,8.762,
2014-04,8.767,
2014-07,9.080,
