"",BBK01.TQ7015P,BBK01.TQ7015P_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Luxembourg                           FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:31,
2005-10,2.17,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,2.21,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,2.34,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,2.59,
2009-01,2.57,
2009-04,2.49,
2009-07,2.57,
2009-10,2.71,
2010-01,2.46,
2010-04,2.44,
2010-07,2.54,
2010-10,2.57,
2011-01,2.10,
2011-04,2.11,
2011-07,2.20,
2011-10,2.30,
2012-01,2.10,
2012-04,2.10,
2012-07,2.00,
2012-10,2.00,
2013-01,2.00,
2013-04,2.00,
2013-07,2.10,
2013-10,2.10,
2014-01,1.90,
2014-04,2.00,
2014-07,2.10,
