"",BBK01.OEBI03V,BBK01.OEBI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:30,
2002-01,6.461,
2002-04,4.687,
2002-07,4.534,
2002-10,6.653,
2003-01,3.316,
2003-04,3.265,
2003-07,4.137,
2003-10,3.189,
2004-01,2.685,
2004-04,2.359,
2004-07,2.263,
2004-10,2.300,
2005-01,2.292,
2005-04,2.237,
2005-07,2.133,
2005-10,2.291,
2006-01,2.296,
2006-04,2.566,
2006-07,2.955,
2006-10,2.958,
2007-01,3.299,
2007-04,3.408,
2007-07,3.653,
2007-10,3.976,
2008-01,4.459,
2008-04,4.809,
2008-07,5.228,
2008-10,4.710,
2009-01,3.696,
2009-04,3.357,
2009-07,2.816,
2009-10,2.547,
2010-01,2.475,
2010-04,2.394,
2010-07,2.205,
2010-10,2.126,
2011-01,2.526,
2011-04,2.362,
2011-07,2.742,
2011-10,3.645,
2012-01,4.080,
2012-04,4.903,
2012-07,4.571,
2012-10,4.207,
2013-01,4.192,
2013-04,4.538,
2013-07,4.606,
2013-10,4.785,
2014-01,4.382,
2014-04,4.606,
2014-07,4.500,
