"",BBK01.OEAC53U,BBK01.OEAC53U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:23,
2002-01,0.099,
2002-04,0.112,
2002-07,0.116,
2002-10,0.121,
2003-01,0.124,
2003-04,0.124,
2003-07,0.125,
2003-10,0.121,
2004-01,0.132,
2004-04,0.131,
2004-07,0.132,
2004-10,0.133,
2005-01,0.136,
2005-04,0.138,
2005-07,0.142,
2005-10,0.144,
2006-01,0.146,
2006-04,0.148,
2006-07,0.158,
2006-10,0.164,
2007-01,0.138,
2007-04,0.144,
2007-07,0.146,
2007-10,0.159,
2008-01,0.165,
2008-04,0.164,
2008-07,0.206,
2008-10,0.210,
2009-01,0.212,
2009-04,0.265,
2009-07,0.268,
2009-10,0.266,
2010-01,0.286,
2010-04,0.288,
2010-07,0.293,
2010-10,0.261,
2011-01,0.305,
2011-04,0.311,
2011-07,0.314,
2011-10,0.313,
2012-01,0.304,
2012-04,0.319,
2012-07,0.318,
2012-10,0.319,
2013-01,0.322,
2013-04,0.319,
2013-07,0.346,
2013-10,0.365,
2014-01,0.359,
2014-04,0.331,
2014-07,0.376,
