"",BBK01.OEHL03T,BBK01.OEHL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:45,
2002-01,0.394,
2002-04,0.372,
2002-07,0.373,
2002-10,0.401,
2003-01,0.415,
2003-04,0.387,
2003-07,0.377,
2003-10,0.341,
2004-01,0.340,
2004-04,0.335,
2004-07,0.331,
2004-10,0.312,
2005-01,0.311,
2005-04,0.310,
2005-07,0.309,
2005-10,0.287,
2006-01,0.289,
2006-04,0.286,
2006-07,0.286,
2006-10,0.280,
2007-01,0.296,
2007-04,0.296,
2007-07,0.318,
2007-10,0.314,
2008-01,0.345,
2008-04,0.357,
2008-07,0.361,
2008-10,0.381,
2009-01,0.339,
2009-04,0.298,
2009-07,0.259,
2009-10,0.211,
2010-01,0.197,
2010-04,0.186,
2010-07,0.180,
2010-10,0.166,
2011-01,0.164,
2011-04,0.159,
2011-07,0.162,
2011-10,0.163,
2012-01,0.155,
2012-04,0.151,
2012-07,0.148,
2012-10,0.143,
2013-01,0.138,
2013-04,0.129,
2013-07,0.121,
2013-10,0.116,
2014-01,0.113,
2014-04,0.110,
2014-07,0.109,
