"",BBEX3.M.UGX.EUR.CA.AC.A01,BBEX3.M.UGX.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Uganda / EUR 1 = UGX ... (middle),
unit,UGX (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:47,
1999-01,1571.305,
1999-02,1521.390,
1999-03,1495.150,
1999-04,1613.045,
1999-05,1501.280,
1999-06,1501.575,
1999-07,1561.000,
1999-08,1547.460,
1999-09,1608.470,
1999-10,1587.810,
1999-11,1513.165,
1999-12,1510.935,
2000-01,1514.780,
2000-02,1460.745,
2000-03,1454.430,
2000-04,1399.140,
2000-05,1407.085,
2000-06,1500.455,
2000-07,1499.025,
2000-08,1541.580,
2000-09,1594.485,
2000-10,1550.735,
2000-11,1596.415,
2000-12,1642.130,
2001-01,1668.855,
2001-02,1608.605,
2001-03,1579.530,
2001-04,1595.500,
2001-05,1511.495,
2001-06,1458.110,
2001-07,1516.790,
2001-08,1594.085,
2001-09,1600.880,
2001-10,1573.810,
2001-11,1531.560,
2001-12,1529.525,
2002-01,1494.860,
2002-02,1519.395,
2002-03,1551.705,
2002-04,1621.065,
2002-05,1679.335,
2002-06,1767.855,
2002-07,1783.240,
2002-08,1777.550,
2002-09,1774.365,
2002-10,1803.740,
2002-11,1833.380,
2002-12,1936.485,
2003-01,2014.530,
2003-02,2054.725,
2003-03,2119.915,
2003-04,2188.765,
2003-05,2352.445,
2003-06,2287.800,
2003-07,2272.425,
2003-08,2182.190,
2003-09,2289.520,
2003-10,2319.660,
2003-11,2331.325,
2003-12,2424.960,
2004-01,2362.210,
2004-02,2368.555,
2004-03,2346.285,
2004-04,2282.425,
2004-05,2238.395,
2004-06,2167.080,
2004-07,2122.095,
2004-08,2067.015,
2004-09,2159.005,
2004-10,2199.485,
2004-11,2320.140,
2004-12,2369.700,
2005-01,2229.485,
2005-02,2243.100,
2005-03,2258.745,
2005-04,2295.295,
2005-05,2208.650,
2005-06,2101.765,
2005-07,2144.230,
2005-08,2219.005,
2005-09,2237.450,
2005-10,2216.505,
2005-11,2150.190,
2005-12,2153.150,
2006-01,2200.635,
2006-02,2162.910,
2006-03,2211.985,
2006-04,2267.260,
2006-05,2382.790,
2006-06,2330.785,
2006-07,2370.530,
2006-08,2377.595,
2006-09,2362.135,
2006-10,2317.865,
2006-11,2380.945,
2006-12,2286.695,
2007-01,2298.025,
2007-02,2306.785,
2007-03,2320.005,
2007-04,2357.110,
2007-05,2274.205,
2007-06,2158.910,
2007-07,2272.395,
2007-08,2444.280,
2007-09,2473.715,
2007-10,2504.150,
2007-11,2553.400,
2007-12,2494.055,
2008-01,2554.920,
2008-02,2568.515,
2008-03,2664.225,
2008-04,2623.135,
2008-05,2529.145,
2008-06,2559.315,
2008-07,2552.675,
2008-08,2424.075,
2008-09,2438.060,
2008-10,2468.840,
2008-11,2553.760,
2008-12,2762.600,
2009-01,2598.510,
2009-02,2518.730,
2009-03,2841.205,
2009-04,2948.800,
2009-05,3118.890,
2009-06,2916.480,
2009-07,2956.830,
2009-08,2962.125,
2009-09,2820.640,
2009-10,2789.160,
2009-11,2805.970,
2009-12,2722.415,
2010-01,2719.150,
2010-02,2747.890,
2010-03,2797.795,
2010-04,2771.135,
2010-05,2749.215,
2010-06,2777.375,
2010-07,2926.495,
2010-08,2880.170,
2010-09,3053.015,
2010-10,3147.650,
2010-11,3085.295,
2010-12,3081.510,
2011-01,3123.135,
2011-02,3233.535,
2011-03,3387.405,
2011-04,3529.215,
2011-05,3411.180,
2011-06,3820.490,
2011-07,3720.730,
2011-08,4051.220,
2011-09,3894.830,
2011-10,3699.790,
2011-11,3420.550,
2011-12,3220.075,
2012-01,3067.430,
2012-02,3175.395,
2012-03,3345.825,
2012-04,3323.985,
2012-05,3108.940,
2012-06,3073.245,
2012-07,3034.045,
2012-08,3123.465,
2012-09,3261.410,
2012-10,3359.965,
2012-11,3489.235,
2012-12,3551.355,
2013-01,3616.375,
2013-02,3469.125,
2013-03,3316.635,
2013-04,3402.790,
2013-05,3387.120,
2013-06,3371.855,
2013-07,3424.220,
2013-08,3425.530,
2013-09,3467.635,
2013-10,3479.500,
2013-11,3433.300,
2013-12,3491.610,
2014-01,3357.115,
2014-02,3472.580,
2014-03,3506.135,
2014-04,3490.565,
2014-05,3482.080,
2014-06,3545.960,
2014-07,3511.990,
2014-08,3447.890,
2014-09,3363.560,
2014-10,3416.920,
2014-11,3469.650,
2014-12,3373.710,
2015-01,3250.055,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Uganda, Kampala.",
