"",BBK01.OECJ04V,BBK01.OECJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:35,
2002-01,0.779,
2002-04,0.801,
2002-07,0.888,
2002-10,0.916,
2003-01,0.911,
2003-04,0.828,
2003-07,0.835,
2003-10,0.906,
2004-01,0.795,
2004-04,0.751,
2004-07,0.804,
2004-10,0.748,
2005-01,0.599,
2005-04,0.552,
2005-07,0.550,
2005-10,0.604,
2006-01,0.616,
2006-04,0.608,
2006-07,0.679,
2006-10,0.884,
2007-01,0.939,
2007-04,0.831,
2007-07,0.877,
2007-10,0.936,
2008-01,0.947,
2008-04,1.045,
2008-07,1.231,
2008-10,1.197,
2009-01,0.997,
2009-04,0.875,
2009-07,0.747,
2009-10,0.732,
2010-01,0.871,
2010-04,0.852,
2010-07,0.790,
2010-10,0.694,
2011-01,0.940,
2011-04,0.885,
2011-07,0.794,
2011-10,0.829,
2012-01,0.798,
2012-04,0.773,
2012-07,0.682,
2012-10,0.533,
2013-01,0.450,
2013-04,0.418,
2013-07,0.439,
2013-10,0.447,
2014-01,0.579,
2014-04,0.593,
2014-07,0.506,
