"",BBK01.OEAF16N,BBK01.OEAF16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:44,
2002-01,0.628,
2002-04,0.661,
2002-07,0.674,
2002-10,0.723,
2003-01,0.722,
2003-04,0.736,
2003-07,0.779,
2003-10,0.794,
2004-01,0.740,
2004-04,0.758,
2004-07,0.810,
2004-10,0.812,
2005-01,0.880,
2005-04,0.798,
2005-07,0.788,
2005-10,0.699,
2006-01,0.692,
2006-04,0.746,
2006-07,0.935,
2006-10,0.906,
2007-01,0.768,
2007-04,0.794,
2007-07,0.769,
2007-10,0.784,
2008-01,0.810,
2008-04,0.826,
2008-07,0.816,
2008-10,0.971,
2009-01,0.964,
2009-04,0.985,
2009-07,0.960,
2009-10,0.946,
2010-01,0.940,
2010-04,0.806,
2010-07,0.804,
2010-10,1.282,
2011-01,0.837,
2011-04,0.763,
2011-07,0.833,
2011-10,0.660,
2012-01,0.569,
2012-04,0.394,
2012-07,0.364,
2012-10,0.384,
2013-01,0.316,
2013-04,0.211,
2013-07,0.142,
2013-10,0.279,
2014-01,0.449,
2014-04,0.220,
2014-07,0.209,
