"",BBK01.OEAC30S,BBK01.OEAC30S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:48,
2002-01,0.246,
2002-04,0.248,
2002-07,0.233,
2002-10,0.214,
2003-01,0.229,
2003-04,0.225,
2003-07,0.216,
2003-10,0.187,
2004-01,0.201,
2004-04,0.203,
2004-07,0.197,
2004-10,0.175,
2005-01,0.184,
2005-04,0.175,
2005-07,0.157,
2005-10,0.154,
2006-01,0.171,
2006-04,0.164,
2006-07,0.142,
2006-10,0.124,
2007-01,0.130,
2007-04,0.128,
2007-07,0.120,
2007-10,0.112,
2008-01,0.131,
2008-04,0.126,
2008-07,0.117,
2008-10,0.102,
2009-01,0.116,
2009-04,0.119,
2009-07,0.112,
2009-10,0.100,
2010-01,0.108,
2010-04,0.105,
2010-07,0.097,
2010-10,0.089,
2011-01,0.103,
2011-04,0.105,
2011-07,0.098,
2011-10,0.084,
2012-01,0.101,
2012-04,0.099,
2012-07,0.095,
2012-10,0.083,
2013-01,0.099,
2013-04,0.093,
2013-07,0.087,
2013-10,0.079,
2014-01,0.083,
2014-04,0.086,
2014-07,0.078,
