"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Monetary financial institutions / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:31,
1991-01,1717.424,
1991-02,-235.417,
1991-03,1072.505,
1991-04,1849.952,
1991-05,1273.079,
1991-06,863.043,
1991-07,935.514,
1991-08,325.540,
1991-09,1478.207,
1991-10,1020.144,
1991-11,886.764,
1991-12,167.548,
1992-01,216.903,
1992-02,882.486,
1992-03,-246.408,
1992-04,-55.327,
1992-05,791.090,
1992-06,-20.419,
1992-07,189.239,
1992-08,-509.902,
1992-09,2060.933,
1992-10,-46.482,
1992-11,105.240,
1992-12,1386.910,
1993-01,814.558,
1993-02,842.878,
1993-03,361.885,
1993-04,884.263,
1993-05,546.994,
1993-06,1440.552,
1993-07,1761.590,
1993-08,1063.978,
1993-09,55.899,
1993-10,1441.095,
1993-11,2635.393,
1993-12,1668.711,
1994-01,1071.247,
1994-02,-438.398,
1994-03,990.595,
1994-04,454.610,
1994-05,2036.207,
1994-06,886.832,
1994-07,1464.632,
1994-08,1897.131,
1994-09,399.453,
1994-10,603.880,
1994-11,532.082,
1994-12,1182.623,
1995-01,-210.284,
1995-02,762.329,
1995-03,-685.986,
1995-04,730.504,
1995-05,1261.549,
1995-06,2276.601,
1995-07,455.522,
1995-08,2431.472,
1995-09,53.153,
1995-10,609.126,
1995-11,435.648,
1995-12,2888.317,
1996-01,1393.623,
1996-02,431.663,
1996-03,2432.019,
1996-04,380.210,
1996-05,627.923,
1996-06,-207.929,
1996-07,-1358.101,
1996-08,-96.810,
1996-09,-450.635,
1996-10,1074.819,
1996-11,1471.445,
1996-12,2284.455,
1997-01,665.496,
1997-02,-90.313,
1997-03,1329.666,
1997-04,489.175,
1997-05,2496.032,
1997-06,1758.947,
1997-07,1740.909,
1997-08,4901.886,
1997-09,1089.350,
1997-10,4291.666,
1997-11,815.501,
1997-12,7438.638,
1998-01,2987.379,
1998-02,2847.215,
1998-03,3143.307,
1998-04,2373.067,
1998-05,3228.172,
1998-06,1734.310,
1998-07,3054.868,
1998-08,4128.061,
1998-09,1585.469,
1998-10,525.072,
1998-11,348.041,
1998-12,5435.634,
1999-01,3134.863,
1999-02,1391.907,
1999-03,4337.510,
1999-04,4587.853,
1999-05,5011.367,
1999-06,4550.162,
1999-07,3397.917,
1999-08,3714.950,
1999-09,2838.599,
1999-10,1976.556,
1999-11,910.563,
1999-12,6864.484,
2000-01,1379.530,
2000-02,3578.328,
2000-03,2888.609,
2000-04,2979.215,
2000-05,630.632,
2000-06,1956.628,
2000-07,4350.088,
2000-08,3051.333,
2000-09,4484.671,
2000-10,4102.827,
2000-11,3750.704,
2000-12,7002.943,
2001-01,603.171,
2001-02,4253.222,
2001-03,2716.199,
2001-04,2389.430,
2001-05,2363.795,
2001-06,7354.103,
2001-07,3579.361,
2001-08,4436.484,
2001-09,3739.523,
2001-10,4173.472,
2001-11,4687.780,
2001-12,7339.423,
2002-01,1018.619,
2002-02,5174.698,
2002-03,5523.864,
2002-04,3838.545,
2002-05,2092.632,
2002-06,2404.421,
2002-07,1561.302,
2002-08,1592.766,
2002-09,1069.719,
2002-10,4232.655,
2002-11,2621.183,
2002-12,2659.925,
2003-01,8318.981,
2003-02,1305.691,
2003-03,1854.168,
2003-04,3120.096,
2003-05,5749.995,
2003-06,-851.427,
2003-07,2823.220,
2003-08,2754.749,
2003-09,2597.969,
2003-10,4409.000,
2003-11,-1739.294,
2003-12,2211.393,
2004-01,7.866,
2004-02,-1031.683,
2004-03,-2547.434,
2004-04,1883.411,
2004-05,-6776.487,
2004-06,-704.097,
2004-07,2824.986,
2004-08,-2556.448,
2004-09,738.349,
2004-10,64.971,
2004-11,2.900,
2004-12,1793.268,
2005-01,768.894,
2005-02,4905.702,
2005-03,5401.099,
2005-04,9864.629,
2005-05,4833.724,
2005-06,6301.120,
2005-07,5941.385,
2005-08,4378.012,
2005-09,10991.033,
2005-10,1959.866,
