"",BBK01.OEBI03K,BBK01.OEBI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:26,
2002-01,9.718,
2002-04,10.033,
2002-07,10.256,
2002-10,10.681,
2003-01,10.327,
2003-04,9.303,
2003-07,10.003,
2003-10,9.639,
2004-01,8.789,
2004-04,8.832,
2004-07,8.836,
2004-10,9.318,
2005-01,7.599,
2005-04,7.859,
2005-07,7.191,
2005-10,7.810,
2006-01,7.861,
2006-04,8.843,
2006-07,8.761,
2006-10,9.118,
2007-01,10.651,
2007-04,10.674,
2007-07,11.772,
2007-10,13.474,
2008-01,12.954,
2008-04,14.080,
2008-07,15.017,
2008-10,14.698,
2009-01,12.679,
2009-04,12.383,
2009-07,10.540,
2009-10,9.758,
2010-01,9.377,
2010-04,9.343,
2010-07,9.603,
2010-10,10.566,
2011-01,9.528,
2011-04,9.945,
2011-07,10.384,
2011-10,11.090,
2012-01,10.691,
2012-04,10.878,
2012-07,10.371,
2012-10,11.002,
2013-01,11.063,
2013-04,10.604,
2013-07,9.815,
2013-10,9.097,
2014-01,8.577,
2014-04,9.027,
2014-07,9.164,
