"",BBK01.CEL50J,BBK01.CEL50J_FLAGS
"",Equity and investment fund shares  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:47,
1999-01,14.9,
1999-04,25.1,
1999-07,16.4,
1999-10,10.0,
2000-01,21.7,
2000-04,28.9,
2000-07,9.2,
2000-10,13.7,
2001-01,15.7,
2001-04,5.7,
2001-07,-5.5,
2001-10,7.6,
2002-01,0.8,
2002-04,-10.7,
2002-07,-0.4,
2002-10,-20.2,
2003-01,5.7,
2003-04,5.4,
2003-07,2.5,
2003-10,-4.1,
2004-01,2.7,
2004-04,1.1,
2004-07,-1.4,
2004-10,-10.0,
2005-01,6.4,
2005-04,5.2,
2005-07,6.9,
2005-10,-3.1,
2006-01,17.3,
2006-04,-7.9,
2006-07,-2.3,
2006-10,-11.7,
2007-01,-8.7,
2007-04,-3.4,
2007-07,-6.1,
2007-10,10.6,
2008-01,-9.4,
2008-04,0.5,
2008-07,-6.1,
2008-10,-23.0,
2009-01,8.0,
2009-04,6.4,
2009-07,2.4,
2009-10,4.4,
2010-01,6.7,
2010-04,10.2,
2010-07,-0.9,
2010-10,7.1,
2011-01,0.4,
2011-04,1.4,
2011-07,0.6,
2011-10,4.4,
2012-01,-3.7,
2012-04,-1.5,
2012-07,-0.8,
2012-10,2.5,
2013-01,9.3,
2013-04,6.3,
2013-07,-2.1,
2013-10,-3.9,
2014-01,8.2,
2014-04,10.7,
2014-07,7.6,
