"",BBK01.TQ7129F,BBK01.TQ7129F_FLAGS
"",Deposit takers - Geographical distribution of loans - Africa                                             FSI-S290,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:21,
2005-10,9911,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,9490,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,10311,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,10236,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,8545,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,8863,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,8775,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,8360,
2013-01,8345,
2013-04,8175,
2013-07,8356,
2013-10,8096,
2014-01,8319,
2014-04,8420,
2014-07,9374,
