"",BBK01.CEF308,BBK01.CEF308_FLAGS
"",Debt securities                          debtor: Total                                         creditor: Non-money market funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:08,
1999-01,13.4,
1999-04,16.5,
1999-07,17.6,
1999-10,16.2,
2000-01,18.0,
2000-04,17.1,
2000-07,16.9,
2000-10,15.9,
2001-01,19.1,
2001-04,20.3,
2001-07,23.2,
2001-10,25.4,
2002-01,27.7,
2002-04,27.8,
2002-07,29.9,
2002-10,29.8,
2003-01,32.9,
2003-04,33.6,
2003-07,32.1,
2003-10,30.8,
2004-01,30.5,
2004-04,30.4,
2004-07,29.5,
2004-10,25.1,
2005-01,26.6,
2005-04,27.5,
2005-07,27.7,
2005-10,28.4,
2006-01,29.4,
2006-04,30.6,
2006-07,30.0,
2006-10,30.1,
2007-01,31.5,
2007-04,33.3,
2007-07,28.0,
2007-10,25.8,
2008-01,24.4,
2008-04,21.2,
2008-07,18.5,
2008-10,12.5,
2009-01,11.3,
2009-04,10.6,
2009-07,10.1,
2009-10,9.4,
2010-01,9.7,
2010-04,8.7,
2010-07,8.3,
2010-10,7.9,
2011-01,7.8,
2011-04,7.5,
2011-07,6.9,
2011-10,5.9,
2012-01,5.3,
2012-04,5.5,
2012-07,5.0,
2012-10,5.4,
2013-01,5.3,
2013-04,5.6,
2013-07,5.2,
2013-10,4.1,
2014-01,4.0,
2014-04,3.9,
2014-07,3.7,
