"",BBK01.OELL04L,BBK01.OELL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:00,
2002-01,3.480,
2002-04,3.313,
2002-07,3.245,
2002-10,3.263,
2003-01,3.136,
2003-04,2.915,
2003-07,2.816,
2003-10,2.726,
2004-01,2.605,
2004-04,2.512,
2004-07,2.447,
2004-10,2.486,
2005-01,2.407,
2005-04,2.438,
2005-07,2.447,
2005-10,2.553,
2006-01,2.638,
2006-04,2.601,
2006-07,2.689,
2006-10,2.746,
2007-01,3.052,
2007-04,3.222,
2007-07,3.548,
2007-10,4.341,
2008-01,4.792,
2008-04,5.307,
2008-07,5.481,
2008-10,6.343,
2009-01,5.550,
2009-04,4.575,
2009-07,3.668,
2009-10,3.209,
2010-01,2.976,
2010-04,2.824,
2010-07,2.537,
2010-10,2.757,
2011-01,2.641,
2011-04,2.733,
2011-07,2.854,
2011-10,2.861,
2012-01,2.761,
2012-04,2.548,
2012-07,2.376,
2012-10,2.288,
2013-01,2.143,
2013-04,2.010,
2013-07,1.972,
2013-10,1.974,
2014-01,1.976,
2014-04,1.969,
2014-07,1.849,
