"",BBK01.OEAD06H,BBK01.OEAD06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:44,
2002-01,5.647,
2002-04,5.603,
2002-07,5.877,
2002-10,5.662,
2003-01,5.015,
2003-04,5.053,
2003-07,4.794,
2003-10,4.727,
2004-01,4.700,
2004-04,4.479,
2004-07,4.040,
2004-10,4.065,
2005-01,4.092,
2005-04,3.833,
2005-07,3.867,
2005-10,3.433,
2006-01,3.502,
2006-04,3.714,
2006-07,3.782,
2006-10,3.774,
2007-01,3.558,
2007-04,3.747,
2007-07,4.102,
2007-10,4.006,
2008-01,4.462,
2008-04,5.021,
2008-07,5.373,
2008-10,6.714,
2009-01,7.978,
2009-04,7.820,
2009-07,7.471,
2009-10,7.023,
2010-01,6.351,
2010-04,6.523,
2010-07,6.464,
2010-10,5.262,
2011-01,6.378,
2011-04,6.167,
2011-07,6.187,
2011-10,6.531,
2012-01,6.022,
2012-04,6.258,
2012-07,5.760,
2012-10,5.801,
2013-01,5.760,
2013-04,5.629,
2013-07,5.488,
2013-10,5.355,
2014-01,5.166,
2014-04,5.492,
2014-07,5.468,
