"",BBK01.OELL02R,BBK01.OELL02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:49,
2002-01,0.803,
2002-04,0.795,
2002-07,0.810,
2002-10,0.843,
2003-01,0.847,
2003-04,0.856,
2003-07,0.865,
2003-10,0.909,
2004-01,0.902,
2004-04,0.891,
2004-07,0.925,
2004-10,0.894,
2005-01,0.955,
2005-04,0.929,
2005-07,0.938,
2005-10,0.963,
2006-01,0.933,
2006-04,0.953,
2006-07,0.960,
2006-10,0.975,
2007-01,0.979,
2007-04,0.990,
2007-07,1.017,
2007-10,1.032,
2008-01,1.021,
2008-04,1.028,
2008-07,1.036,
2008-10,1.095,
2009-01,1.126,
2009-04,1.201,
2009-07,1.256,
2009-10,1.314,
2010-01,1.361,
2010-04,1.423,
2010-07,1.459,
2010-10,1.491,
2011-01,1.472,
2011-04,1.477,
2011-07,1.483,
2011-10,1.518,
2012-01,1.517,
2012-04,1.561,
2012-07,1.611,
2012-10,1.661,
2013-01,1.672,
2013-04,1.715,
2013-07,1.743,
2013-10,1.801,
2014-01,1.802,
2014-04,1.846,
2014-07,1.893,
