"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:40,
1991-01,11.799,
1991-04,11.799,
1991-07,11.301,
1991-10,10.676,
1992-01,56.440,
1992-04,46.010,
1992-07,56.586,
1992-10,56.609,
1993-01,-46.475,
1993-04,-46.475,
1993-07,-46.475,
1993-10,-46.475,
1994-01,52.560,
1994-04,51.634,
1994-07,40.626,
1994-10,-68.944,
1995-01,-48.053,
1995-04,-48.253,
1995-07,-46.966,
1995-10,-46.966,
1996-01,54.977,
1996-04,54.977,
1996-07,54.977,
1996-10,47.267,
1997-01,-9.199,
1997-04,-8.436,
1997-07,-8.436,
1997-10,-8.539,
1998-01,-1.225,
1998-04,-,Nothing exists
1998-07,-0.305,
1998-10,-0.101,
1999-01,-6.018,
1999-04,-7.000,
1999-07,-8.000,
1999-10,-6.000,
2000-01,5.000,
2000-04,5.916,
2000-07,6.000,
2000-10,6.000,
2001-01,-2.511,
2001-04,-35.031,
2001-07,-20.149,
2001-10,-4.511,
2002-01,-28.308,
2002-04,-21.575,
2002-07,-48.563,
2002-10,-46.044,
2003-01,-45.277,
2003-04,-40.236,
2003-07,-30.253,
2003-10,-39.292,
2004-01,220.461,
2004-04,166.911,
2004-07,179.667,
2004-10,193.320,
2005-01,-59.782,
2005-04,-80.295,
2005-07,-86.733,
2005-10,-111.190,
2006-01,-118.756,
2006-04,-108.554,
2006-07,-124.144,
2006-10,-99.538,
2007-01,40.223,
2007-04,53.111,
2007-07,39.780,
2007-10,8.332,
2008-01,120.212,
2008-04,31.065,
2008-07,-175.027,
2008-10,72.573,
2009-01,47.223,
2009-04,-92.398,
2009-07,84.458,
2009-10,79.699,
2010-01,87.054,
2010-04,5.365,
2010-07,91.295,
2010-10,43.063,
2011-01,62.988,
2011-04,87.234,
2011-07,31.078,
2011-10,93.200,
2012-01,68.816,
2012-04,-45.789,
2012-07,-8.199,
2012-10,101.584,
2013-01,103.044,
2013-04,-288.914,
2013-07,128.912,
2013-10,111.908,
2014-01,87.761,Provisional value
2014-04,74.135,Provisional value
2014-07,62.295,Provisional value
2014-10,75.564,Provisional value
