"",BBFN1.M.DE.N.1.A.FR.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1979-11,0.066,
1979-12,0.076,
1980-01,0.064,
1980-02,0.071,
1980-03,0.060,
1980-04,0.065,
1980-05,0.066,
1980-06,0.079,
1980-07,0.087,
1980-08,0.078,
1980-09,0.078,
1980-10,0.083,
1980-11,0.116,
1980-12,0.201,
1981-01,0.225,
1981-02,0.259,
1981-03,0.207,
1981-04,0.219,
1981-05,0.241,
1981-06,0.150,
1981-07,0.217,
1981-08,0.151,
1981-09,0.179,
1981-10,0.105,
1981-11,0.098,
1981-12,0.099,
1982-01,0.098,
1982-02,0.116,
1982-03,0.122,
1982-04,0.131,
1982-05,0.159,
1982-06,0.184,
1982-07,0.167,
1982-08,0.108,
1982-09,0.129,
1982-10,0.133,
1982-11,0.149,
1982-12,0.117,
1983-01,0.093,
1983-02,0.100,
1983-03,0.076,
1983-04,0.077,
1983-05,0.093,
1983-06,0.091,
1983-07,0.089,
1983-08,0.100,
1983-09,0.115,
1983-10,0.147,
1983-11,0.167,
1983-12,0.084,
1984-01,0.138,
1984-02,0.208,
1984-03,0.336,
1984-04,0.252,
1984-05,0.316,
1984-06,0.225,
1984-07,0.227,
1984-08,0.256,
1984-09,0.208,
1984-10,0.191,
1984-11,0.235,
1984-12,0.147,
1985-01,0.286,
1985-02,0.214,
1985-03,0.300,
1985-04,0.224,
1985-05,0.239,
1985-06,0.219,
1985-07,0.240,
1985-08,0.310,
1985-09,0.269,
1985-10,0.392,
1985-11,0.438,
1985-12,0.349,
1986-01,0.398,
1986-02,0.434,
1986-03,0.575,
1986-04,0.588,
1986-05,0.675,
1986-06,0.620,
1986-07,0.601,
1986-08,0.660,
1986-09,0.534,
1986-10,0.793,
1986-11,1.023,
1986-12,0.674,
1987-01,0.808,
1987-02,0.693,
1987-03,0.553,
1987-04,0.694,
1987-05,0.688,
1987-06,0.694,
1987-07,0.836,
1987-08,0.720,
1987-09,0.730,
1987-10,0.774,
1987-11,0.672,
1987-12,0.765,
1988-01,0.722,
1988-02,0.891,
1988-03,0.820,
1988-04,0.876,
1988-05,0.950,
1988-06,0.966,
1988-07,0.890,
1988-08,0.814,
1988-09,0.877,
1988-10,0.907,
1988-11,0.718,
1988-12,0.700,
1989-01,0.833,
1989-02,0.886,
1989-03,0.871,
1989-04,0.796,
1989-05,0.734,
1989-06,0.765,
1989-07,0.805,
1989-08,0.690,
1989-09,0.625,
1989-10,0.784,
1989-11,0.719,
1989-12,0.869,
1990-01,1.015,
1990-02,1.305,
1990-03,1.343,
1990-04,1.210,
1990-05,1.305,
1990-06,1.194,
1990-07,1.413,
1990-08,1.702,
1990-09,1.420,
1990-10,1.767,
1990-11,1.800,
1990-12,1.659,
1991-01,1.823,
1991-02,1.897,
1991-03,2.184,
1991-04,2.953,
1991-05,2.640,
1991-06,2.505,
1991-07,2.323,
1991-08,2.278,
1991-09,1.974,
1991-10,3.090,
1991-11,3.161,
1991-12,2.910,
1992-01,3.377,
1992-02,4.026,
1992-03,3.642,
1992-04,3.619,
1992-05,3.369,
1992-06,3.240,
1992-07,3.266,
1992-08,3.139,
1992-09,2.618,
1992-10,3.120,
1992-11,3.588,
1992-12,3.226,
1993-01,3.651,
1993-02,4.131,
1993-03,4.860,
1993-04,4.621,
1993-05,4.695,
1993-06,4.502,
1993-07,4.572,
1993-08,3.958,
1993-09,4.305,
1993-10,5.389,
1993-11,5.454,
1993-12,4.997,
1994-01,4.824,
1994-02,4.755,
1994-03,5.334,
1994-04,5.113,
1994-05,5.202,
1994-06,4.723,
1994-07,4.700,
1994-08,4.648,
1994-09,4.442,
1994-10,4.156,
1994-11,4.562,
1994-12,4.628,
1995-01,4.538,
1995-02,4.246,
1995-03,4.336,
1995-04,4.574,
1995-05,4.164,
1995-06,4.184,
1995-07,3.926,
1995-08,4.017,
1995-09,3.659,
1995-10,3.207,
1995-11,2.579,
1995-12,1.459,
1996-01,1.381,
1996-02,1.660,
1996-03,2.018,
1996-04,2.234,
1996-05,2.433,
1996-06,2.434,
1996-07,2.217,
1996-08,1.705,
1996-09,2.185,
1996-10,1.480,
1996-11,2.281,
1996-12,1.897,
1997-01,1.523,
1997-02,3.511,
1997-03,3.414,
1997-04,4.643,
1997-05,4.273,
1997-06,3.637,
1997-07,3.261,
1997-08,2.456,
1997-09,1.867,
1997-10,1.812,
1997-11,1.617,
1997-12,0.916,
1998-01,0.765,
1998-02,0.755,
1998-03,1.424,
1998-04,1.310,
1998-05,1.971,
1998-06,0.916,
1998-07,1.113,
1998-08,0.728,
1998-09,0.728,
1998-10,1.096,
1998-11,2.056,
1998-12,0.603,
1999-01,0.772,
1999-02,0.588,
1999-03,0.737,
1999-04,0.602,
1999-05,0.729,
1999-06,0.582,
1999-07,0.824,
1999-08,0.643,
1999-09,0.519,
1999-10,0.505,
1999-11,0.447,
1999-12,0.426,
2000-01,0.472,
2000-02,0.456,
2000-03,0.916,
2000-04,1.001,
2000-05,0.782,
2000-06,0.670,
2000-07,1.293,
2000-08,1.465,
2000-09,1.943,
2000-10,0.983,
2000-11,1.233,
2000-12,0.652,
2001-01,1.147,
2001-02,1.313,
2001-03,0.930,
2001-04,1.539,
2001-05,1.472,
2001-06,0.754,
2001-07,1.563,
2001-08,1.660,
2001-09,1.338,
2001-10,1.916,
2001-11,1.902,
2001-12,0.694,
2002-01,2.355,
2002-02,1.822,
2002-03,1.429,
2002-04,1.455,
2002-05,3.172,
2002-06,3.496,
2002-07,3.974,
2002-08,3.785,
2002-09,4.374,
2002-10,3.797,
2002-11,3.113,
2002-12,0.943,
2003-01,2.722,
2003-02,3.649,
2003-03,4.177,
2003-04,9.125,
2003-05,8.786,
2003-06,3.912,
2003-07,3.875,
2003-08,3.469,
2003-09,3.652,
2003-10,3.423,
2003-11,2.649,
2003-12,1.928,
2004-01,1.816,
2004-02,2.291,
2004-03,2.086,
2004-04,3.709,
2004-05,5.347,
2004-06,4.483,
2004-07,2.713,
2004-08,4.724,
2004-09,2.990,
2004-10,4.083,
2004-11,4.658,
2004-12,2.417,
2005-01,3.609,
2005-02,2.420,
2005-03,3.030,
2005-04,4.105,
2005-05,5.726,
2005-06,4.482,
2005-07,5.129,
2005-08,5.121,
2005-09,5.739,
2005-10,7.702,
2005-11,6.335,
2005-12,3.817,
2006-01,4.540,
2006-02,4.361,
2006-03,5.080,
2006-04,5.927,
2006-05,5.064,
2006-06,4.289,
2006-07,6.112,
2006-08,7.315,
2006-09,4.847,
2006-10,3.697,
2006-11,3.925,
2006-12,3.099,
2007-01,3.201,
2007-02,10.935,
2007-03,9.930,
2007-04,7.234,
2007-05,4.346,
2007-06,9.148,
2007-07,6.265,
2007-08,5.519,
2007-09,3.561,
2007-10,4.820,
2007-11,5.473,
2007-12,3.394,
2008-01,3.386,
2008-02,3.943,
2008-03,5.074,
2008-04,4.483,
2008-05,4.102,
2008-06,3.521,
2008-07,5.164,
2008-08,3.309,
2008-09,4.725,
2008-10,4.330,
2008-11,4.112,
2008-12,3.751,
2009-01,3.918,
2009-02,4.341,
2009-03,6.437,
2009-04,5.563,
2009-05,10.197,
2009-06,11.870,
2009-07,8.404,
2009-08,7.481,
2009-09,8.802,
2009-10,8.952,
2009-11,8.725,
2009-12,9.967,
2010-01,7.604,
2010-02,8.603,
2010-03,6.854,
2010-04,7.128,
2010-05,6.452,
2010-06,7.243,
2010-07,8.886,
2010-08,8.002,
2010-09,8.745,
2010-10,10.060,
2010-11,9.886,
2010-12,11.195,
2011-01,11.416,
2011-02,11.351,
2011-03,8.965,
2011-04,12.889,
2011-05,14.948,
2011-06,10.326,
2011-07,16.637,
2011-08,17.448,
2011-09,18.720,
2011-10,22.724,
2011-11,23.731,
2011-12,14.832,
2012-01,16.107,
2012-02,19.598,
2012-03,18.978,
2012-04,13.009,
2012-05,12.979,
2012-06,15.760,
2012-07,21.488,
2012-08,19.459,
2012-09,20.559,
2012-10,18.117,
2012-11,20.669,
2012-12,20.085,
2013-01,19.764,
2013-02,17.425,
2013-03,22.184,
2013-04,20.540,
2013-05,22.287,
2013-06,26.814,
2013-07,21.198,
2013-08,18.722,
2013-09,19.772,
2013-10,22.297,
2013-11,26.586,
2013-12,27.103,
2014-01,24.864,
2014-02,29.112,
2014-03,40.587,
2014-04,31.601,
2014-05,44.887,
2014-06,36.843,
2014-07,34.600,
2014-08,36.805,
2014-09,34.666,
2014-10,29.314,
2014-11,33.658,
2014-12,30.733,
