"",BBK01.OEAH36K,BBK01.OEAH36K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:42,
2002-01,0.104,
2002-04,0.091,
2002-07,0.086,
2002-10,0.092,
2003-01,0.087,
2003-04,0.090,
2003-07,0.096,
2003-10,0.089,
2004-01,0.101,
2004-04,0.110,
2004-07,0.112,
2004-10,0.140,
2005-01,0.142,
2005-04,0.141,
2005-07,0.141,
2005-10,0.141,
2006-01,0.130,
2006-04,0.129,
2006-07,0.125,
2006-10,0.125,
2007-01,0.118,
2007-04,0.116,
2007-07,0.114,
2007-10,0.113,
2008-01,0.115,
2008-04,0.109,
2008-07,0.111,
2008-10,0.107,
2009-01,0.107,
2009-04,0.108,
2009-07,0.099,
2009-10,0.093,
2010-01,0.092,
2010-04,0.094,
2010-07,0.095,
2010-10,0.096,
2011-01,0.109,
2011-04,0.106,
2011-07,0.087,
2011-10,0.078,
2012-01,0.081,
2012-04,0.083,
2012-07,0.086,
2012-10,0.089,
2013-01,0.099,
2013-04,0.097,
2013-07,0.093,
2013-10,0.093,
2014-01,0.068,
2014-04,0.074,
2014-07,1.440,
