"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P___.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P___.O.F._Z._T._X.N_FLAGS
"",Credit (Resources) / Other investment income (acc. to BH3) / Total economy / Other Investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:45,
1991-01,3424.617,
1991-02,3436.174,
1991-03,3382.141,
1991-04,3393.992,
1991-05,3449.317,
1991-06,3417.411,
1991-07,3471.106,
1991-08,3489.530,
1991-09,3544.594,
1991-10,3518.896,
1991-11,3539.125,
1991-12,3537.879,
1992-01,3595.964,
1992-02,3583.479,
1992-03,3589.010,
1992-04,3616.342,
1992-05,3630.860,
1992-06,3679.629,
1992-07,3683.023,
1992-08,3667.976,
1992-09,3671.767,
1992-10,3663.642,
1992-11,3637.892,
1992-12,3640.771,
1993-01,3653.264,
1993-02,3598.973,
1993-03,3560.339,
1993-04,3499.603,
1993-05,3374.645,
1993-06,3336.695,
1993-07,3240.053,
1993-08,3137.940,
1993-09,3049.134,
1993-10,2999.335,
1993-11,2931.764,
1993-12,2881.664,
1994-01,2771.097,
1994-02,2757.720,
1994-03,2719.363,
1994-04,2720.886,
1994-05,2722.592,
1994-06,2696.512,
1994-07,2728.133,
1994-08,2792.115,
1994-09,2825.540,
1994-10,2836.266,
1994-11,2871.169,
1994-12,2869.082,
1995-01,2885.643,
1995-02,2905.486,
1995-03,2942.739,
1995-04,2857.472,
1995-05,2902.231,
1995-06,2891.166,
1995-07,2834.344,
1995-08,2804.587,
1995-09,2765.296,
1995-10,2726.719,
1995-11,2677.299,
1995-12,2662.802,
1996-01,2604.950,
1996-02,2541.144,
1996-03,2526.067,
1996-04,2566.304,
1996-05,2524.035,
1996-06,2520.929,
1996-07,2634.176,
1996-08,2670.177,
1996-09,2689.166,
1996-10,2699.978,
1996-11,2776.646,
1996-12,2805.949,
1997-01,2862.127,
1997-02,2864.532,
1997-03,2885.025,
1997-04,2937.504,
1997-05,2967.247,
1997-06,3009.275,
1997-07,2954.439,
1997-08,2931.941,
1997-09,2938.447,
1997-10,2952.165,
1997-11,2924.455,
1997-12,2924.607,
1998-01,2831.896,
1998-02,2851.694,
1998-03,2859.679,
1998-04,2825.455,
1998-05,2805.048,
1998-06,2825.422,
1998-07,2864.737,
1998-08,2815.976,
1998-09,2795.841,
1998-10,2739.738,
1998-11,2750.568,
1998-12,2768.054,
1999-01,2873.987,
1999-02,2890.643,
1999-03,2878.703,
1999-04,2943.405,
1999-05,2978.822,
1999-06,2964.779,
1999-07,2995.573,
1999-08,3140.972,
1999-09,3225.153,
1999-10,3374.251,
1999-11,3496.050,
1999-12,3568.978,
2000-01,3758.125,
2000-02,3921.186,
2000-03,4050.572,
2000-04,4146.408,
2000-05,4249.140,
2000-06,4306.053,
2000-07,4430.929,
2000-08,4450.475,
2000-09,4497.243,
2000-10,4535.809,
2000-11,4485.647,
2000-12,4448.323,
2001-01,4093.949,
2001-02,4102.376,
2001-03,4021.411,
2001-04,3868.103,
2001-05,3763.929,
2001-06,3699.400,
2001-07,3519.980,
2001-08,3471.636,
2001-09,3437.600,
2001-10,3293.563,
2001-11,3227.177,
2001-12,3222.886,
2002-01,3250.216,
2002-02,3229.683,
2002-03,3253.665,
2002-04,3276.168,
2002-05,3327.947,
2002-06,3311.158,
2002-07,3329.392,
2002-08,3275.458,
2002-09,3278.768,
2002-10,3321.977,
2002-11,3299.727,
2002-12,3251.389,
2003-01,3336.374,
2003-02,3262.282,
2003-03,3201.701,
2003-04,3234.684,
2003-05,3216.318,
2003-06,3198.647,
2003-07,3238.588,
2003-08,3207.288,
2003-09,3144.666,
2003-10,3094.994,
2003-11,3117.727,
2003-12,3217.407,
2004-01,3169.096,
2004-02,3180.684,
2004-03,3182.635,
2004-04,3169.758,
2004-05,3167.752,
2004-06,3277.480,
2004-07,3337.663,
2004-08,3459.619,
2004-09,3539.258,
2004-10,3654.452,
2004-11,3734.681,
2004-12,3807.671,
2005-01,3922.850,
2005-02,4014.045,
2005-03,4118.979,
2005-04,4187.103,
2005-05,4265.262,
2005-06,4270.772,
2005-07,4421.639,
2005-08,4462.048,
2005-09,4567.756,
2005-10,4810.933,
2005-11,4957.393,
2005-12,5092.622,
2006-01,5094.082,
2006-02,5227.983,
2006-03,5346.331,
2006-04,5498.170,
2006-05,5709.324,
2006-06,5882.311,
2006-07,6082.647,
2006-08,6263.513,
2006-09,6409.781,
2006-10,6441.218,
2006-11,6659.372,
2006-12,6885.597,
