"",BBK01.OEAH59M,BBK01.OEAH59M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:58,
2002-01,24.201,
2002-04,23.928,
2002-07,23.976,
2002-10,24.542,
2003-01,24.625,
2003-04,24.337,
2003-07,24.092,
2003-10,24.500,
2004-01,24.531,
2004-04,24.622,
2004-07,24.543,
2004-10,25.172,
2005-01,25.720,
2005-04,25.657,
2005-07,26.245,
2005-10,26.947,
2006-01,27.187,
2006-04,27.157,
2006-07,27.175,
2006-10,27.900,
2007-01,28.438,
2007-04,28.671,
2007-07,29.168,
2007-10,30.706,
2008-01,31.665,
2008-04,32.255,
2008-07,32.945,
2008-10,34.741,
2009-01,32.592,
2009-04,31.854,
2009-07,29.825,
2009-10,28.490,
2010-01,27.631,
2010-04,26.949,
2010-07,26.546,
2010-10,27.476,
2011-01,27.153,
2011-04,27.581,
2011-07,27.779,
2011-10,28.592,
2012-01,28.737,
2012-04,28.442,
2012-07,27.977,
2012-10,27.777,
2013-01,27.351,
2013-04,27.062,
2013-07,26.941,
2013-10,27.211,
2014-01,27.097,
2014-04,27.086,
2014-07,27.095,
