"",BBK01.OEYI07K,BBK01.OEYI07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:15,
2002-01,0.161,
2002-04,0.149,
2002-07,0.144,
2002-10,0.149,
2003-01,0.152,
2003-04,0.151,
2003-07,0.067,
2003-10,0.014,
2004-01,0.012,
2004-04,0.166,
2004-07,0.155,
2004-10,0.153,
2005-01,0.117,
2005-04,0.106,
2005-07,0.103,
2005-10,0.100,
2006-01,0.110,
2006-04,0.108,
2006-07,0.105,
2006-10,0.105,
2007-01,0.104,
2007-04,0.101,
2007-07,0.098,
2007-10,0.098,
2008-01,0.098,
2008-04,0.097,
2008-07,0.093,
2008-10,0.099,
2009-01,0.094,
2009-04,0.094,
2009-07,0.101,
2009-10,0.099,
2010-01,0.097,
2010-04,0.091,
2010-07,0.090,
2010-10,0.089,
2011-01,0.087,
2011-04,0.083,
2011-07,0.084,
2011-10,0.082,
2012-01,0.080,
2012-04,0.082,
2012-07,0.082,
2012-10,0.083,
2013-01,0.086,
2013-04,0.086,
2013-07,0.078,
2013-10,0.065,
2014-01,0.059,
2014-04,0.057,
2014-07,0.056,
