"",BBK01.OEYL03I,BBK01.OEYL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:08,
2002-01,3.824,
2002-04,3.636,
2002-07,3.676,
2002-10,3.604,
2003-01,3.558,
2003-04,3.344,
2003-07,3.605,
2003-10,2.702,
2004-01,2.856,
2004-04,2.348,
2004-07,2.358,
2004-10,1.744,
2005-01,1.725,
2005-04,0.561,
2005-07,0.569,
2005-10,0.523,
2006-01,0.488,
2006-04,0.481,
2006-07,0.491,
2006-10,0.353,
2007-01,0.404,
2007-04,0.430,
2007-07,0.568,
2007-10,0.590,
2008-01,0.692,
2008-04,0.720,
2008-07,0.698,
2008-10,0.624,
2009-01,0.346,
2009-04,0.319,
2009-07,0.293,
2009-10,0.285,
2010-01,0.286,
2010-04,0.347,
2010-07,0.338,
2010-10,0.308,
2011-01,0.324,
2011-04,0.354,
2011-07,0.355,
2011-10,0.360,
2012-01,0.357,
2012-04,0.393,
2012-07,0.330,
2012-10,0.344,
2013-01,0.330,
2013-04,0.355,
2013-07,0.371,
2013-10,0.358,
2014-01,0.354,
2014-04,0.581,
2014-07,0.651,
