"",BBK01.OEHB09V,BBK01.OEHB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:42,
2002-01,3.087,
2002-04,3.069,
2002-07,3.077,
2002-10,3.063,
2003-01,2.984,
2003-04,3.025,
2003-07,2.990,
2003-10,2.948,
2004-01,2.893,
2004-04,2.925,
2004-07,2.911,
2004-10,2.908,
2005-01,2.859,
2005-04,2.868,
2005-07,2.834,
2005-10,2.785,
2006-01,2.834,
2006-04,2.813,
2006-07,2.802,
2006-10,2.807,
2007-01,2.776,
2007-04,2.784,
2007-07,2.823,
2007-10,2.861,
2008-01,2.866,
2008-04,2.921,
2008-07,3.127,
2008-10,3.088,
2009-01,3.077,
2009-04,3.269,
2009-07,3.230,
2009-10,3.215,
2010-01,3.496,
2010-04,3.494,
2010-07,3.538,
2010-10,3.597,
2011-01,3.645,
2011-04,3.800,
2011-07,4.138,
2011-10,4.248,
2012-01,4.350,
2012-04,4.396,
2012-07,4.570,
2012-10,4.665,
2013-01,4.626,
2013-04,4.670,
2013-07,4.687,
2013-10,4.826,
2014-01,4.871,
2014-04,5.018,
2014-07,5.092,
