"",BBFB1.Q.N.DE.AT.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:24,
1991-01,270.842,
1991-04,337.216,
1991-07,-107.006,
1991-10,418.886,
1992-01,569.937,
1992-04,-137.142,
1992-07,571.455,
1992-10,5.982,
1993-01,1410.734,
1993-04,1136.463,
1993-07,188.515,
1993-10,230.919,
1994-01,1641.289,
1994-04,-400.323,
1994-07,71.853,
1994-10,399.667,
1995-01,2557.824,
1995-04,419.586,
1995-07,-433.548,
1995-10,1299.725,
1996-01,1036.954,
1996-04,-420.665,
1996-07,236.724,
1996-10,994.734,
1997-01,1808.259,
1997-04,1299.094,
1997-07,2150.215,
1997-10,554.251,
1998-01,870.142,
1998-04,818.948,
1998-07,1361.132,
1998-10,3323.466,
1999-01,6258.528,
1999-04,2454.999,
1999-07,4632.744,
1999-10,212.207,
2000-01,3263.941,
2000-04,1842.363,
2000-07,-1593.754,
2000-10,11080.400,
2001-01,1832.124,
2001-04,-1543.300,
2001-07,3901.270,
2001-10,2059.026,
2002-01,1201.777,
2002-04,3984.875,
2002-07,-631.511,
2002-10,-1439.050,
2003-01,2919.985,
2003-04,2595.348,
2003-07,1399.425,
2003-10,-1122.326,
2004-01,2177.950,
2004-04,3143.845,
2004-07,1228.904,
2004-10,-516.296,
2005-01,4297.967,
2005-04,2637.728,
2005-07,3454.860,
2005-10,585.881,
2006-01,3498.990,
2006-04,1854.397,
2006-07,2739.372,
2006-10,14235.078,
2007-01,-6150.241,
2007-04,4107.551,
2007-07,-1815.619,
2007-10,1163.186,
2008-01,6776.716,
2008-04,3217.834,
2008-07,565.855,
2008-10,-2501.536,
2009-01,3674.842,
2009-04,2184.930,
2009-07,-182.568,
2009-10,-5172.059,
2010-01,1492.875,
2010-04,6373.624,
2010-07,2451.552,
2010-10,-3612.937,
2011-01,9613.256,
2011-04,-3556.626,
2011-07,2865.815,
2011-10,-4280.838,
2012-01,3230.486,
2012-04,-1322.213,
2012-07,-1382.227,
2012-10,-252.918,
2013-01,1247.987,
2013-04,3185.018,
2013-07,1219.186,
2013-10,-4807.439,
2014-01,366.638,Provisional value
2014-04,12853.402,Provisional value
2014-07,-2889.359,Provisional value
2014-10,-4000.254,Provisional value
