"",BBK01.OEAD36R,BBK01.OEAD36R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:46,
2002-01,0.051,
2002-04,0.050,
2002-07,0.048,
2002-10,0.049,
2003-01,0.057,
2003-04,0.058,
2003-07,0.054,
2003-10,0.056,
2004-01,0.051,
2004-04,0.050,
2004-07,0.048,
2004-10,0.047,
2005-01,0.045,
2005-04,0.038,
2005-07,0.040,
2005-10,0.041,
2006-01,0.040,
2006-04,0.038,
2006-07,0.037,
2006-10,0.038,
2007-01,0.037,
2007-04,0.042,
2007-07,0.044,
2007-10,0.046,
2008-01,0.056,
2008-04,0.057,
2008-07,0.057,
2008-10,0.057,
2009-01,0.061,
2009-04,0.063,
2009-07,0.062,
2009-10,0.048,
2010-01,0.063,
2010-04,0.060,
2010-07,0.059,
2010-10,0.056,
2011-01,0.056,
2011-04,0.055,
2011-07,0.056,
2011-10,0.053,
2012-01,0.052,
2012-04,0.055,
2012-07,0.054,
2012-10,0.057,
2013-01,0.060,
2013-04,0.060,
2013-07,0.057,
2013-10,0.064,
2014-01,0.063,
2014-04,0.061,
2014-07,0.060,
